clip_id,clip_path,openface_csv,is_accepted,reject_reason
first_quarter_0001_10s,data\private\clips\first_quarter_0001_10s.mp4,data\private\features\openface\first_quarter_0001_10s.csv,0,too_few_success_frames
first_quarter_0004_10s,data\private\clips\first_quarter_0004_10s.mp4,data\private\features\openface\first_quarter_0004_10s.csv,1,
first_quarter_0005_10s,data\private\clips\first_quarter_0005_10s.mp4,data\private\features\openface\first_quarter_0005_10s.csv,0,too_few_success_frames
first_quarter_0006_10s,data\private\clips\first_quarter_0006_10s.mp4,data\private\features\openface\first_quarter_0006_10s.csv,1,
first_quarter_0008_10s,data\private\clips\first_quarter_0008_10s.mp4,data\private\features\openface\first_quarter_0008_10s.csv,0,too_few_success_frames
first_quarter_0009_10s,data\private\clips\first_quarter_0009_10s.mp4,data\private\features\openface\first_quarter_0009_10s.csv,1,
first_quarter_0010_10s,data\private\clips\first_quarter_0010_10s.mp4,data\private\features\openface\first_quarter_0010_10s.csv,1,
first_quarter_0011_10s,data\private\clips\first_quarter_0011_10s.mp4,data\private\features\openface\first_quarter_0011_10s.csv,1,
first_quarter_0012_10s,data\private\clips\first_quarter_0012_10s.mp4,data\private\features\openface\first_quarter_0012_10s.csv,0,low_success_ratio
first_quarter_0013_10s,data\private\clips\first_quarter_0013_10s.mp4,data\private\features\openface\first_quarter_0013_10s.csv,1,
first_quarter_0014_10s,data\private\clips\first_quarter_0014_10s.mp4,data\private\features\openface\first_quarter_0014_10s.csv,1,
first_quarter_0015_10s,data\private\clips\first_quarter_0015_10s.mp4,data\private\features\openface\first_quarter_0015_10s.csv,1,
first_quarter_0016_10s,data\private\clips\first_quarter_0016_10s.mp4,data\private\features\openface\first_quarter_0016_10s.csv,1,
first_quarter_0017_10s,data\private\clips\first_quarter_0017_10s.mp4,data\private\features\openface\first_quarter_0017_10s.csv,0,too_few_success_frames
first_quarter_0018_10s,data\private\clips\first_quarter_0018_10s.mp4,data\private\features\openface\first_quarter_0018_10s.csv,1,
first_quarter_0019_10s,data\private\clips\first_quarter_0019_10s.mp4,data\private\features\openface\first_quarter_0019_10s.csv,1,
first_quarter_0020_10s,data\private\clips\first_quarter_0020_10s.mp4,data\private\features\openface\first_quarter_0020_10s.csv,1,
first_quarter_0021_10s,data\private\clips\first_quarter_0021_10s.mp4,data\private\features\openface\first_quarter_0021_10s.csv,0,too_few_success_frames
first_quarter_0023_10s,data\private\clips\first_quarter_0023_10s.mp4,data\private\features\openface\first_quarter_0023_10s.csv,0,too_few_success_frames
first_quarter_0024_10s,data\private\clips\first_quarter_0024_10s.mp4,data\private\features\openface\first_quarter_0024_10s.csv,0,too_few_success_frames
first_quarter_0025_10s,data\private\clips\first_quarter_0025_10s.mp4,data\private\features\openface\first_quarter_0025_10s.csv,1,
first_quarter_0027_10s,data\private\clips\first_quarter_0027_10s.mp4,data\private\features\openface\first_quarter_0027_10s.csv,1,
first_quarter_0028_10s,data\private\clips\first_quarter_0028_10s.mp4,data\private\features\openface\first_quarter_0028_10s.csv,0,too_few_success_frames
first_quarter_0029_10s,data\private\clips\first_quarter_0029_10s.mp4,data\private\features\openface\first_quarter_0029_10s.csv,0,too_few_success_frames
first_quarter_0031_10s,data\private\clips\first_quarter_0031_10s.mp4,data\private\features\openface\first_quarter_0031_10s.csv,1,
first_quarter_0032_10s,data\private\clips\first_quarter_0032_10s.mp4,data\private\features\openface\first_quarter_0032_10s.csv,1,
first_quarter_0033_10s,data\private\clips\first_quarter_0033_10s.mp4,data\private\features\openface\first_quarter_0033_10s.csv,0,too_few_success_frames
first_quarter_0035_10s,data\private\clips\first_quarter_0035_10s.mp4,data\private\features\openface\first_quarter_0035_10s.csv,0,too_few_success_frames
first_quarter_0036_10s,data\private\clips\first_quarter_0036_10s.mp4,data\private\features\openface\first_quarter_0036_10s.csv,0,too_few_success_frames
first_quarter_0037_10s,data\private\clips\first_quarter_0037_10s.mp4,data\private\features\openface\first_quarter_0037_10s.csv,0,too_few_success_frames
first_quarter_0038_10s,data\private\clips\first_quarter_0038_10s.mp4,data\private\features\openface\first_quarter_0038_10s.csv,1,
first_quarter_0039_10s,data\private\clips\first_quarter_0039_10s.mp4,data\private\features\openface\first_quarter_0039_10s.csv,1,
first_quarter_0040_10s,data\private\clips\first_quarter_0040_10s.mp4,data\private\features\openface\first_quarter_0040_10s.csv,0,too_few_success_frames
first_quarter_0041_10s,data\private\clips\first_quarter_0041_10s.mp4,data\private\features\openface\first_quarter_0041_10s.csv,1,
first_quarter_0042_10s,data\private\clips\first_quarter_0042_10s.mp4,data\private\features\openface\first_quarter_0042_10s.csv,1,
first_quarter_0043_10s,data\private\clips\first_quarter_0043_10s.mp4,data\private\features\openface\first_quarter_0043_10s.csv,0,too_few_success_frames
first_quarter_0044_10s,data\private\clips\first_quarter_0044_10s.mp4,data\private\features\openface\first_quarter_0044_10s.csv,1,
first_quarter_0045_10s,data\private\clips\first_quarter_0045_10s.mp4,data\private\features\openface\first_quarter_0045_10s.csv,0,too_few_success_frames
first_quarter_0046_10s,data\private\clips\first_quarter_0046_10s.mp4,data\private\features\openface\first_quarter_0046_10s.csv,0,too_few_success_frames
first_quarter_0048_10s,data\private\clips\first_quarter_0048_10s.mp4,data\private\features\openface\first_quarter_0048_10s.csv,1,
first_quarter_0049_10s,data\private\clips\first_quarter_0049_10s.mp4,data\private\features\openface\first_quarter_0049_10s.csv,1,
first_quarter_0050_10s,data\private\clips\first_quarter_0050_10s.mp4,data\private\features\openface\first_quarter_0050_10s.csv,0,too_few_success_frames
first_quarter_0052_10s,data\private\clips\first_quarter_0052_10s.mp4,data\private\features\openface\first_quarter_0052_10s.csv,0,too_few_success_frames
first_quarter_0053_10s,data\private\clips\first_quarter_0053_10s.mp4,data\private\features\openface\first_quarter_0053_10s.csv,0,too_few_success_frames
first_quarter_0054_10s,data\private\clips\first_quarter_0054_10s.mp4,data\private\features\openface\first_quarter_0054_10s.csv,0,too_few_success_frames
first_quarter_0055_10s,data\private\clips\first_quarter_0055_10s.mp4,data\private\features\openface\first_quarter_0055_10s.csv,0,too_few_success_frames
first_quarter_0056_10s,data\private\clips\first_quarter_0056_10s.mp4,data\private\features\openface\first_quarter_0056_10s.csv,0,too_few_success_frames
first_quarter_0057_10s,data\private\clips\first_quarter_0057_10s.mp4,data\private\features\openface\first_quarter_0057_10s.csv,0,too_few_success_frames
first_quarter_0058_10s,data\private\clips\first_quarter_0058_10s.mp4,data\private\features\openface\first_quarter_0058_10s.csv,1,
first_quarter_0059_10s,data\private\clips\first_quarter_0059_10s.mp4,data\private\features\openface\first_quarter_0059_10s.csv,1,
first_quarter_0060_10s,data\private\clips\first_quarter_0060_10s.mp4,data\private\features\openface\first_quarter_0060_10s.csv,0,too_few_success_frames
first_quarter_0061_10s,data\private\clips\first_quarter_0061_10s.mp4,data\private\features\openface\first_quarter_0061_10s.csv,1,
first_quarter_0062_10s,data\private\clips\first_quarter_0062_10s.mp4,data\private\features\openface\first_quarter_0062_10s.csv,1,
first_quarter_0063_10s,data\private\clips\first_quarter_0063_10s.mp4,data\private\features\openface\first_quarter_0063_10s.csv,0,too_few_success_frames
first_quarter_0064_10s,data\private\clips\first_quarter_0064_10s.mp4,data\private\features\openface\first_quarter_0064_10s.csv,0,low_success_ratio
first_quarter_0065_10s,data\private\clips\first_quarter_0065_10s.mp4,data\private\features\openface\first_quarter_0065_10s.csv,0,too_few_success_frames
first_quarter_0066_10s,data\private\clips\first_quarter_0066_10s.mp4,data\private\features\openface\first_quarter_0066_10s.csv,0,too_few_success_frames
first_quarter_0067_10s,data\private\clips\first_quarter_0067_10s.mp4,data\private\features\openface\first_quarter_0067_10s.csv,0,too_few_success_frames
first_quarter_0068_10s,data\private\clips\first_quarter_0068_10s.mp4,data\private\features\openface\first_quarter_0068_10s.csv,0,too_few_success_frames
first_quarter_0069_10s,data\private\clips\first_quarter_0069_10s.mp4,data\private\features\openface\first_quarter_0069_10s.csv,0,too_few_success_frames
first_quarter_0071_10s,data\private\clips\first_quarter_0071_10s.mp4,data\private\features\openface\first_quarter_0071_10s.csv,0,too_few_success_frames
first_quarter_0072_10s,data\private\clips\first_quarter_0072_10s.mp4,data\private\features\openface\first_quarter_0072_10s.csv,1,
first_quarter_0122_10s,data\private\clips\first_quarter_0122_10s.mp4,data\private\features\openface\first_quarter_0122_10s.csv,0,too_few_success_frames
first_quarter_0131_10s,data\private\clips\first_quarter_0131_10s.mp4,data\private\features\openface\first_quarter_0131_10s.csv,0,too_few_success_frames
first_quarter_0132_10s,data\private\clips\first_quarter_0132_10s.mp4,data\private\features\openface\first_quarter_0132_10s.csv,0,too_few_success_frames
first_quarter_0134_10s,data\private\clips\first_quarter_0134_10s.mp4,data\private\features\openface\first_quarter_0134_10s.csv,1,
first_quarter_0135_10s,data\private\clips\first_quarter_0135_10s.mp4,data\private\features\openface\first_quarter_0135_10s.csv,1,
first_quarter_0136_10s,data\private\clips\first_quarter_0136_10s.mp4,data\private\features\openface\first_quarter_0136_10s.csv,0,too_few_success_frames
first_quarter_0138_10s,data\private\clips\first_quarter_0138_10s.mp4,data\private\features\openface\first_quarter_0138_10s.csv,0,too_few_success_frames
first_quarter_0139_10s,data\private\clips\first_quarter_0139_10s.mp4,data\private\features\openface\first_quarter_0139_10s.csv,1,
first_quarter_0140_10s,data\private\clips\first_quarter_0140_10s.mp4,data\private\features\openface\first_quarter_0140_10s.csv,0,too_few_success_frames
first_quarter_0141_10s,data\private\clips\first_quarter_0141_10s.mp4,data\private\features\openface\first_quarter_0141_10s.csv,0,low_success_ratio
first_quarter_0142_10s,data\private\clips\first_quarter_0142_10s.mp4,data\private\features\openface\first_quarter_0142_10s.csv,0,too_few_success_frames
first_quarter_0143_10s,data\private\clips\first_quarter_0143_10s.mp4,data\private\features\openface\first_quarter_0143_10s.csv,1,
first_quarter_0144_10s,data\private\clips\first_quarter_0144_10s.mp4,data\private\features\openface\first_quarter_0144_10s.csv,0,too_few_success_frames
first_quarter_0145_10s,data\private\clips\first_quarter_0145_10s.mp4,data\private\features\openface\first_quarter_0145_10s.csv,0,too_few_success_frames
first_quarter_0146_10s,data\private\clips\first_quarter_0146_10s.mp4,data\private\features\openface\first_quarter_0146_10s.csv,0,too_few_success_frames
first_quarter_0147_10s,data\private\clips\first_quarter_0147_10s.mp4,data\private\features\openface\first_quarter_0147_10s.csv,0,too_few_success_frames
first_quarter_0148_10s,data\private\clips\first_quarter_0148_10s.mp4,data\private\features\openface\first_quarter_0148_10s.csv,1,
