clip_id,manual_label,notes
first_quarter_0042_10s,Highly Disengage,Delete
first_quarter_0044_10s,Highly Disengage,Delete
first_quarter_0157_10s,Highly Disengage,Delete
first_quarter_0228_10s,Highly Disengage,Delete
first_quarter_0235_10s,Highly Disengage,Delete
first_quarter_0244_10s,Highly Disengage,Delete
first_quarter_0246_10s,Highly Disengage,Delete
first_quarter_0247_10s,Highly Disengage,Delete
first_quarter_0250_10s,Highly Disengage,Delete
first_quarter_0252_10s,Highly Disengage,Delete
first_quarter_0255_10s,Highly Disengage,Delete
first_quarter_0259_10s,Highly Disengage,Delete
first_quarter_0260_10s,Highly Disengage,Delete
fourth_quarter_0024_10s,Highly Disengage,Delete
fourth_quarter_0036_10s,Highly Disengage,Delete
fourth_quarter_0066_10s,Highly Disengage,Delete
fourth_quarter_0136_10s,Highly Disengage,Delete
fourth_quarter_0166_10s,Highly Disengage,Delete
fourth_quarter_0195_10s,Highly Disengage,Delete
fourth_quarter_0241_10s,Highly Disengage,Delete
fourth_quarter_0244_10s,Highly Disengage,Delete
fourth_quarter_0245_10s,Highly Disengage,Delete
fourth_quarter_0257_10s,Highly Disengage,Delete
fourth_quarter_0264_10s,Highly Disengage,Delete
second_quarter_0044_10s,Highly Disengage,Delete
second_quarter_0055_10s,Highly Disengage,Delete
second_quarter_0063_10s,Highly Disengage,Delete
second_quarter_0071_10s,Highly Disengage,Delete
second_quarter_0139_10s,Highly Disengage,Delete
second_quarter_0155_10s,Highly Disengage,Delete
second_quarter_0160_10s,Highly Disengage,Delete
second_quarter_0200_10s,Highly Disengage,Delete
second_quarter_0204_10s,Highly Disengage,Delete
second_quarter_0242_10s,Highly Disengage,Delete
second_quarter_0243_10s,Highly Disengage,Delete
second_quarter_0244_10s,Highly Disengage,Delete
second_quarter_0246_10s,Highly Disengage,Delete
second_quarter_0247_10s,Highly Disengage,Delete
second_quarter_0248_10s,Highly Disengage,Delete
second_quarter_0250_10s,Highly Disengage,Delete
second_quarter_0257_10s,Highly Disengage,Delete
third_quarter_0016_10s,Highly Disengage,Delete
third_quarter_0036_10s,Highly Disengage,Delete
third_quarter_0066_10s,Highly Disengage,Delete
third_quarter_0125_10s,Highly Disengage,Delete
third_quarter_0149_10s,Highly Disengage,Delete
third_quarter_0153_10s,Highly Disengage,Delete
third_quarter_0157_10s,Highly Disengage,Delete
third_quarter_0166_10s,Highly Disengage,Delete
third_quarter_0167_10s,Highly Disengage,Delete
third_quarter_0172_10s,Highly Disengage,Delete
third_quarter_0180_10s,Highly Disengage,Delete
third_quarter_0221_10s,Highly Disengage,Delete
third_quarter_0245_10s,Highly Disengage,Delete
third_quarter_0246_10s,Highly Disengage,Delete
third_quarter_0247_10s,Highly Disengage,Delete
third_quarter_0248_10s,Highly Disengage,Delete
third_quarter_0249_10s,Highly Disengage,Delete
third_quarter_0253_10s,Highly Disengage,Delete
third_quarter_0257_10s,Highly Disengage,Delete
