clip_id,manual_label_id,manual_label,notes,source_majority_label,source_agreement_rate,source_mean_confidence
first_quarter_0004_10s,2,Engage,,Engage,0.16666666666666666,0.7976507842540741
first_quarter_0006_10s,3,Highly Engage,,,None,None
first_quarter_0009_10s,2,Engage,,,None,None
first_quarter_0010_10s,2,Engage,,,None,None
first_quarter_0011_10s,2,Engage,,,None,None
first_quarter_0013_10s,1,Disengage,,,None,None
first_quarter_0014_10s,2,Engage,,,None,None
first_quarter_0015_10s,2,Engage,,Disengage,0.3333333333333333,0.7370302379131317
first_quarter_0016_10s,2,Engage,,Engage,0.16666666666666666,0.554111510515213
first_quarter_0018_10s,2,Engage,,Engage,0.16666666666666666,0.8022456169128418
first_quarter_0019_10s,3,Highly Engage,,Engage,0.16666666666666666,0.6325582191348076
first_quarter_0020_10s,2,Engage,,Highly Engage,0.16666666666666666,0.5955741032958031
first_quarter_0025_10s,3,Highly Engage,,,None,None
first_quarter_0027_10s,2,Engage,,,None,None
first_quarter_0031_10s,2,Engage,,,None,None
first_quarter_0032_10s,2,Engage,,Disengage,0.16666666666666666,0.6535686925053596
first_quarter_0038_10s,2,Engage,,,None,None
first_quarter_0039_10s,3,Highly Engage,,,None,None
first_quarter_0041_10s,2,Engage,,,None,None
first_quarter_0042_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.6339227557182312
first_quarter_0044_10s,0,Highly Disengage,Delete,Disengage,0.16666666666666666,0.6361595243215561
first_quarter_0048_10s,2,Engage,,Highly Disengage,0.13333333333333333,0.6149136225382487
first_quarter_0049_10s,2,Engage,,,None,None
first_quarter_0058_10s,2,Engage,,,None,None
first_quarter_0059_10s,1,Disengage,,,None,None
first_quarter_0061_10s,2,Engage,,,None,None
first_quarter_0062_10s,2,Engage,,Disengage,0.16666666666666666,0.70932936668396
first_quarter_0072_10s,2,Engage,,Disengage,0.3333333333333333,0.665345162153244
first_quarter_0134_10s,3,Highly Engage,,,None,None
first_quarter_0135_10s,1,Disengage,,Disengage,0.13333333333333333,0.7363776564598083
first_quarter_0139_10s,3,Highly Engage,,,None,None
first_quarter_0143_10s,1,Disengage,,Highly Disengage,0.5,0.6648702248930931
first_quarter_0148_10s,3,Highly Engage,,,None,None
first_quarter_0151_10s,0,Highly Disengage,Delete,,None,None
