dataset,split,split_total,class_label,count,proportion
CMOSE,train,8783,Highly Disengage,250,0.028464
CMOSE,train,8783,Disengage,1591,0.181145
CMOSE,train,8783,Engage,6099,0.69441
CMOSE,train,8783,Highly Engage,843,0.095981
CMOSE,unlabel,2193,Highly Disengage,62,0.028272
CMOSE,unlabel,2193,Disengage,397,0.181031
CMOSE,unlabel,2193,Engage,1524,0.694938
CMOSE,unlabel,2193,Highly Engage,210,0.095759
CMOSE,test,1221,Highly Disengage,35,0.028665
CMOSE,test,1221,Disengage,221,0.180999
CMOSE,test,1221,Engage,847,0.693694
CMOSE,test,1221,Highly Engage,118,0.096642
DaiSEE,train,5358,Highly Disengage,34,0.006346
DaiSEE,train,5358,Disengage,213,0.039754
DaiSEE,train,5358,Engage,2617,0.488429
DaiSEE,train,5358,Highly Engage,2494,0.465472
DaiSEE,unlabel,1429,Highly Disengage,23,0.016095
DaiSEE,unlabel,1429,Disengage,143,0.10007
DaiSEE,unlabel,1429,Engage,813,0.568929
DaiSEE,unlabel,1429,Highly Engage,450,0.314906
DaiSEE,test,1784,Highly Disengage,4,0.002242
DaiSEE,test,1784,Disengage,84,0.047085
DaiSEE,test,1784,Engage,882,0.494395
DaiSEE,test,1784,Highly Engage,814,0.456278
Combined,train,14141,Highly Disengage,284,0.020083
Combined,train,14141,Disengage,1804,0.127572
Combined,train,14141,Engage,8716,0.616364
Combined,train,14141,Highly Engage,3337,0.23598
Combined,unlabel,3622,Highly Disengage,85,0.023468
Combined,unlabel,3622,Disengage,540,0.149089
Combined,unlabel,3622,Engage,2337,0.645224
Combined,unlabel,3622,Highly Engage,660,0.18222
Combined,test,3005,Highly Disengage,39,0.012978
Combined,test,3005,Disengage,305,0.101498
Combined,test,3005,Engage,1729,0.575374
Combined,test,3005,Highly Engage,932,0.31015
