clip_id,num_models,agreement_rate,prediction_entropy,mean_confidence,majority_class_id,majority_label,majority_vote_count,vote_count_0_Highly Disengage,vote_proportion_0_Highly Disengage,vote_count_1_Disengage,vote_proportion_1_Disengage,vote_count_2_Engage,vote_proportion_2_Engage,vote_count_3_Highly Engage,vote_proportion_3_Highly Engage,predicted_id__openface_mlp/weighted_ce,predicted_label__openface_mlp/weighted_ce,confidence__openface_mlp/weighted_ce,predicted_id__lstm/weighted_ce,predicted_label__lstm/weighted_ce,confidence__lstm/weighted_ce,predicted_id__transformer/ce,predicted_label__transformer/ce,confidence__transformer/ce,predicted_id__temporal_cnn/weighted_ce,predicted_label__temporal_cnn/weighted_ce,confidence__temporal_cnn/weighted_ce,predicted_id__i3d_mlp/ce,predicted_label__i3d_mlp/ce,confidence__i3d_mlp/ce,predicted_id__openface_tcn_i3d_fusion/ce,predicted_label__openface_tcn_i3d_fusion/ce,confidence__openface_tcn_i3d_fusion/ce
video10_103_person13,6,1.0,-0.0,0.8932327727476755,2,Engage,6,0,0.0,0,0.0,6,1.0,0,0.0,2,Engage,0.9090090990066528,2,Engage,0.7698961496353149,2,Engage,0.9574057459831238,2,Engage,0.9314022064208984,2,Engage,0.8180235028266907,2,Engage,0.9736599326133728
video10_103_person2,6,0.4,0.5,0.6069760123888651,1,Disengage,3,0,0.0,3,0.5,3,0.5,0,0.0,2,Engage,0.3513857126235962,2,Engage,0.7844153642654419,1,Disengage,0.5719494819641113,1,Disengage,0.809679388999939,1,Disengage,0.6672105193138123,2,Engage,0.4572156071662903
video10_109_person0,6,1.0,-0.0,0.8599197665850321,2,Engage,6,0,0.0,0,0.0,6,1.0,0,0.0,2,Engage,0.7418910264968872,2,Engage,0.7444025874137878,2,Engage,0.8867074251174927,2,Engage,0.960239827632904,2,Engage,0.8946813344955444,2,Engage,0.9315963983535767
video10_110_person12,6,1.0,-0.0,0.6481694380442301,2,Engage,6,0,0.0,0,0.0,6,1.0,0,0.0,2,Engage,0.49258196353912354,2,Engage,0.7273514866828918,2,Engage,0.8487522602081299,2,Engage,0.5047875046730042,2,Engage,0.4814934730529785,2,Engage,0.8340499401092529
video10_110_person19,6,0.26666666666666666,0.7295739585136223,0.6949548423290253,1,Disengage,3,0,0.0,3,0.5,2,0.3333333333333333,1,0.16666666666666666,3,Highly Engage,0.9705045223236084,1,Disengage,0.7204397916793823,1,Disengage,0.5550801753997803,1,Disengage,0.5799130201339722,2,Engage,0.5728258490562439,2,Engage,0.7709656953811646
video10_110_person27,6,0.6666666666666666,0.32501121082417705,0.6744744976361593,2,Engage,5,0,0.0,1,0.16666666666666666,5,0.8333333333333334,0,0.0,2,Engage,0.5875572562217712,2,Engage,0.7624288201332092,2,Engage,0.8224512338638306,2,Engage,0.49430716037750244,1,Disengage,0.5561082363128662,2,Engage,0.8239942789077759
video10_111_person11,6,0.4666666666666667,0.4591479170272447,0.5672982583443323,1,Disengage,4,0,0.0,4,0.6666666666666666,2,0.3333333333333333,0,0.0,2,Engage,0.34292343258857727,1,Disengage,0.8501855134963989,1,Disengage,0.5882400870323181,1,Disengage,0.5673060417175293,2,Engage,0.5066717267036438,1,Disengage,0.5484627485275269
video10_112_person27,6,0.26666666666666666,0.7295739585136223,0.5968003372351328,1,Disengage,3,0,0.0,3,0.5,2,0.3333333333333333,1,0.16666666666666666,3,Highly Engage,0.5532414317131042,2,Engage,0.7753022909164429,2,Engage,0.618350088596344,1,Disengage,0.4976596534252167,1,Disengage,0.6816017627716064,1,Disengage,0.4546467959880829
video10_114_person6,6,0.13333333333333333,0.9591479170272448,0.7186568131049474,0,Highly Disengage,2,2,0.3333333333333333,1,0.16666666666666666,1,0.16666666666666666,2,0.3333333333333333,3,Highly Engage,0.3875005841255188,0,Highly Disengage,0.9858196973800659,0,Highly Disengage,0.7972148060798645,3,Highly Engage,0.9024890065193176,1,Disengage,0.7640088796615601,2,Engage,0.47490790486335754
video10_117_person12,6,0.6666666666666666,0.32501121082417705,0.7263229737679163,2,Engage,5,0,0.0,0,0.0,5,0.8333333333333334,1,0.16666666666666666,2,Engage,0.4227512776851654,2,Engage,0.6237747073173523,2,Engage,0.8671846389770508,3,Highly Engage,0.6422351002693176,2,Engage,0.9361551403999329,2,Engage,0.8658369779586792
