run_a,run_b,cohens_kappa,raw_agreement
openface_mlp/weighted_ce,lstm/weighted_ce,0.3918949880976328,0.6208026208026208
openface_mlp/weighted_ce,transformer/ce,0.4083818193863672,0.6945126945126945
openface_mlp/weighted_ce,temporal_cnn/weighted_ce,0.48072487008907205,0.6928746928746928
openface_mlp/weighted_ce,i3d_mlp/ce,0.29203802082460917,0.6314496314496314
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/ce,0.35039685020483613,0.6584766584766585
lstm/weighted_ce,transformer/ce,0.30327597337440493,0.6134316134316135
lstm/weighted_ce,temporal_cnn/weighted_ce,0.422200899550225,0.6445536445536445
lstm/weighted_ce,i3d_mlp/ce,0.22374170752812228,0.5667485667485668
lstm/weighted_ce,openface_tcn_i3d_fusion/ce,0.27171436410703,0.5904995904995906
transformer/ce,temporal_cnn/weighted_ce,0.46152589713016345,0.7346437346437347
transformer/ce,i3d_mlp/ce,0.44878241356382975,0.8042588042588042
transformer/ce,openface_tcn_i3d_fusion/ce,0.4605258516825732,0.8050778050778051
temporal_cnn/weighted_ce,i3d_mlp/ce,0.3831497321088162,0.6928746928746928
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/ce,0.4504407404439459,0.723996723996724
i3d_mlp/ce,openface_tcn_i3d_fusion/ce,0.5865888104291146,0.8468468468468469
