method,feature_set,sample_id,dataset,x,y
tsne,OpenFace,first_quarter_0004_10s,private,39.18244934082031,-6.113647937774658
tsne,OpenFace,first_quarter_0006_10s,private,47.97636413574219,5.750068187713623
tsne,OpenFace,first_quarter_0009_10s,private,23.296173095703125,-2.1871814727783203
tsne,OpenFace,first_quarter_0010_10s,private,15.086881637573242,-22.054914474487305
tsne,OpenFace,first_quarter_0011_10s,private,36.023841857910156,7.93168830871582
tsne,OpenFace,first_quarter_0013_10s,private,42.29958724975586,-15.482741355895996
tsne,OpenFace,first_quarter_0014_10s,private,23.688274383544922,-18.45577621459961
tsne,OpenFace,first_quarter_0015_10s,private,23.88360595703125,-18.30457878112793
tsne,OpenFace,first_quarter_0016_10s,private,42.49202346801758,-15.386136054992676
tsne,OpenFace,first_quarter_0018_10s,private,36.80233383178711,5.40230131149292
tsne,OpenFace,first_quarter_0019_10s,private,14.565784454345703,-22.522733688354492
tsne,OpenFace,first_quarter_0020_10s,private,23.746856689453125,-2.205012559890747
tsne,OpenFace,first_quarter_0025_10s,private,48.01261901855469,-1.4126298427581787
tsne,OpenFace,first_quarter_0027_10s,private,47.29117202758789,-2.5255215167999268
tsne,OpenFace,first_quarter_0031_10s,private,44.52861785888672,-8.495988845825195
tsne,OpenFace,first_quarter_0032_10s,private,17.03893280029297,-0.9211044907569885
tsne,OpenFace,first_quarter_0038_10s,private,24.563749313354492,-2.386030673980713
tsne,OpenFace,first_quarter_0039_10s,private,45.6270637512207,-0.10528860986232758
tsne,OpenFace,first_quarter_0041_10s,private,16.757307052612305,7.767427921295166
tsne,OpenFace,first_quarter_0042_10s,private,44.83172607421875,-12.455160140991211
tsne,OpenFace,first_quarter_0044_10s,private,45.03254699707031,-12.789647102355957
tsne,OpenFace,first_quarter_0048_10s,private,43.623077392578125,-8.42143440246582
tsne,OpenFace,first_quarter_0049_10s,private,17.89431381225586,-1.636184573173523
tsne,OpenFace,first_quarter_0058_10s,private,17.7094669342041,7.810591697692871
tsne,OpenFace,first_quarter_0059_10s,private,44.916290283203125,-9.645129203796387
tsne,OpenFace,first_quarter_0061_10s,private,50.8985710144043,6.699763774871826
tsne,OpenFace,first_quarter_0062_10s,private,18.224021911621094,7.849124908447266
tsne,OpenFace,first_quarter_0072_10s,private,17.55503273010254,-1.5174285173416138
tsne,OpenFace,first_quarter_0134_10s,private,37.54621505737305,-3.1210172176361084
tsne,OpenFace,first_quarter_0135_10s,private,18.527055740356445,-13.682883262634277
tsne,OpenFace,first_quarter_0139_10s,private,18.71352767944336,-17.893095016479492
tsne,OpenFace,first_quarter_0143_10s,private,48.72120666503906,1.431375503540039
tsne,OpenFace,first_quarter_0148_10s,private,33.139312744140625,4.027621746063232
tsne,OpenFace,first_quarter_0151_10s,private,48.84600830078125,0.7197350859642029
tsne,OpenFace,first_quarter_0152_10s,private,22.97378158569336,-11.524635314941406
tsne,OpenFace,first_quarter_0156_10s,private,18.238801956176758,-13.941034317016602
tsne,OpenFace,first_quarter_0157_10s,private,43.44307327270508,-12.609199523925781
tsne,OpenFace,first_quarter_0163_10s,private,37.59393310546875,-4.060060501098633
tsne,OpenFace,first_quarter_0164_10s,private,16.67511558532715,-1.4559966325759888
