clip_id,num_models,agreement_rate,prediction_entropy,mean_confidence,majority_class_id,majority_label,majority_vote_count,vote_count_0_Highly Disengage,vote_proportion_0_Highly Disengage,vote_count_1_Disengage,vote_proportion_1_Disengage,vote_count_2_Engage,vote_proportion_2_Engage,vote_count_3_Highly Engage,vote_proportion_3_Highly Engage,predicted_id__openface_mlp/weighted_ce,predicted_label__openface_mlp/weighted_ce,confidence__openface_mlp/weighted_ce,predicted_id__lstm/weighted_ce,predicted_label__lstm/weighted_ce,confidence__lstm/weighted_ce,predicted_id__transformer/ce,predicted_label__transformer/ce,confidence__transformer/ce,predicted_id__temporal_cnn/weighted_ce,predicted_label__temporal_cnn/weighted_ce,confidence__temporal_cnn/weighted_ce,predicted_id__i3d_mlp/ce,predicted_label__i3d_mlp/ce,confidence__i3d_mlp/ce,predicted_id__openface_tcn_i3d_fusion/ce,predicted_label__openface_tcn_i3d_fusion/ce,confidence__openface_tcn_i3d_fusion/ce
first_quarter_0004_10s,6,0.26666666666666666,0.7295739585136223,0.6751316140095392,2,Engage,3,2,0.3333333333333333,0,0.0,3,0.5,1,0.16666666666666666,0,Highly Disengage,0.4191873073577881,2,Engage,0.44099923968315125,2,Engage,0.8118179440498352,2,Engage,0.9997497200965881,3,Highly Engage,0.5905820727348328,0,Highly Disengage,0.7884534001350403
first_quarter_0006_10s,6,0.4,0.6258145836939114,0.6496001382668813,2,Engage,4,1,0.16666666666666666,1,0.16666666666666666,4,0.6666666666666666,0,0.0,2,Engage,0.28989338874816895,0,Highly Disengage,0.5201449394226074,2,Engage,0.8310259580612183,2,Engage,0.9999446868896484,2,Engage,0.5119660496711731,1,Disengage,0.7446258068084717
first_quarter_0009_10s,6,0.6666666666666666,0.32501121082417705,0.8043966193993887,3,Highly Engage,5,1,0.16666666666666666,0,0.0,0,0.0,5,0.8333333333333334,3,Highly Engage,0.9034439325332642,3,Highly Engage,0.7867307662963867,3,Highly Engage,0.7340197563171387,3,Highly Engage,0.9996811151504517,3,Highly Engage,0.6419192552566528,0,Highly Disengage,0.7605848908424377
first_quarter_0010_10s,6,0.4,0.5,0.6240794857343038,1,Disengage,3,0,0.0,3,0.5,3,0.5,0,0.0,2,Engage,0.28989338874816895,1,Disengage,0.515674352645874,1,Disengage,0.5033714771270752,2,Engage,0.9999983310699463,2,Engage,0.7952740788459778,1,Disengage,0.6402652859687805
first_quarter_0011_10s,6,0.13333333333333333,0.9591479170272448,0.537458578745524,1,Disengage,2,1,0.16666666666666666,2,0.3333333333333333,2,0.3333333333333333,1,0.16666666666666666,1,Disengage,0.28718915581703186,1,Disengage,0.4558418095111847,2,Engage,0.30368971824645996,3,Highly Engage,0.9399908185005188,2,Engage,0.567021369934082,0,Highly Disengage,0.6710186004638672
first_quarter_0013_10s,6,0.4,0.6258145836939114,0.6237018605073293,2,Engage,4,1,0.16666666666666666,1,0.16666666666666666,4,0.6666666666666666,0,0.0,2,Engage,0.28478091955184937,2,Engage,0.6433621048927307,1,Disengage,0.6042731404304504,2,Engage,0.9667647480964661,2,Engage,0.49565595388412476,0,Highly Disengage,0.7473742961883545
first_quarter_0014_10s,6,0.26666666666666666,0.7295739585136223,0.6138550937175751,2,Engage,3,0,0.0,2,0.3333333333333333,3,0.5,1,0.16666666666666666,2,Engage,0.28989338874816895,3,Highly Engage,0.3543039560317993,1,Disengage,0.6749947667121887,2,Engage,0.9707194566726685,2,Engage,0.833741307258606,1,Disengage,0.559477686882019
first_quarter_0015_10s,6,0.4666666666666667,0.4591479170272447,0.600384126106898,2,Engage,4,0,0.0,2,0.3333333333333333,4,0.6666666666666666,0,0.0,2,Engage,0.3537382483482361,2,Engage,0.300445556640625,1,Disengage,0.6321133375167847,2,Engage,0.9938919544219971,2,Engage,0.7608094215393066,1,Disengage,0.5613062381744385
first_quarter_0016_10s,6,0.26666666666666666,0.7295739585136225,0.5205472012360891,2,Engage,3,1,0.16666666666666666,2,0.3333333333333333,3,0.5,0,0.0,1,Disengage,0.28471189737319946,2,Engage,0.6221252679824829,1,Disengage,0.49063795804977417,2,Engage,0.6988117098808289,2,Engage,0.48322176933288574,0,Highly Disengage,0.5437746047973633
first_quarter_0018_10s,6,0.4,0.6258145836939114,0.6575854867696762,2,Engage,4,0,0.0,1,0.16666666666666666,4,0.6666666666666666,1,0.16666666666666666,2,Engage,0.2974351644515991,2,Engage,0.43909528851509094,2,Engage,0.8567298650741577,3,Highly Engage,0.9020317196846008,2,Engage,0.6887508034706116,1,Disengage,0.7614700794219971
first_quarter_0019_10s,6,0.4,0.6258145836939114,0.5810871769984564,2,Engage,4,1,0.16666666666666666,0,0.0,4,0.6666666666666666,1,0.16666666666666666,2,Engage,0.35539162158966064,2,Engage,0.6008985638618469,2,Engage,0.4763892590999603,2,Engage,1.0,3,Highly Engage,0.5331107378005981,0,Highly Disengage,0.5207328796386719
first_quarter_0020_10s,6,0.26666666666666666,0.7295739585136225,0.5940363506476084,3,Highly Engage,3,1,0.16666666666666666,0,0.0,2,0.3333333333333333,3,0.5,2,Engage,0.31135568022727966,3,Highly Engage,0.8705660104751587,3,Highly Engage,0.4208029806613922,2,Engage,0.5262671709060669,3,Highly Engage,0.6311396956443787,0,Highly Disengage,0.8040865659713745
first_quarter_0025_10s,6,0.13333333333333333,0.9591479170272448,0.7285367250442505,0,Highly Disengage,2,2,0.3333333333333333,1,0.16666666666666666,2,0.3333333333333333,1,0.16666666666666666,1,Disengage,0.2918030023574829,0,Highly Disengage,0.7776193618774414,2,Engage,0.8341964483261108,2,Engage,1.0,3,Highly Engage,0.7986002564430237,0,Highly Disengage,0.6690012812614441
first_quarter_0027_10s,6,0.26666666666666666,0.7295739585136225,0.5400456835826238,1,Disengage,3,1,0.16666666666666666,3,0.5,2,0.3333333333333333,0,0.0,1,Disengage,0.29114124178886414,0,Highly Disengage,0.4559655487537384,2,Engage,0.5109539031982422,2,Engage,0.9999294281005859,1,Disengage,0.365673691034317,1,Disengage,0.6166102886199951
first_quarter_0031_10s,6,0.13333333333333333,0.9591479170272448,0.634709949294726,2,Engage,2,1,0.16666666666666666,1,0.16666666666666666,2,0.3333333333333333,2,0.3333333333333333,1,Disengage,0.29076993465423584,0,Highly Disengage,0.6189848184585571,2,Engage,0.8443310260772705,2,Engage,0.9969111084938049,3,Highly Engage,0.6951846480369568,3,Highly Engage,0.36207816004753113
