clip_id,num_models,agreement_rate,prediction_entropy,mean_confidence,majority_class_id,majority_label,majority_vote_count,vote_count_0_Highly Disengage,vote_proportion_0_Highly Disengage,vote_count_1_Disengage,vote_proportion_1_Disengage,vote_count_2_Engage,vote_proportion_2_Engage,vote_count_3_Highly Engage,vote_proportion_3_Highly Engage,predicted_id__openface_mlp/ce,predicted_label__openface_mlp/ce,confidence__openface_mlp/ce,predicted_id__openface_mlp/weighted_ce,predicted_label__openface_mlp/weighted_ce,confidence__openface_mlp/weighted_ce,predicted_id__openface_mlp/ordinal,predicted_label__openface_mlp/ordinal,confidence__openface_mlp/ordinal,predicted_id__temporal_cnn/ce,predicted_label__temporal_cnn/ce,confidence__temporal_cnn/ce,predicted_id__temporal_cnn/weighted_ce,predicted_label__temporal_cnn/weighted_ce,confidence__temporal_cnn/weighted_ce,predicted_id__temporal_cnn/ordinal,predicted_label__temporal_cnn/ordinal,confidence__temporal_cnn/ordinal,predicted_id__lstm/ce,predicted_label__lstm/ce,confidence__lstm/ce,predicted_id__lstm/weighted_ce,predicted_label__lstm/weighted_ce,confidence__lstm/weighted_ce,predicted_id__lstm/ordinal,predicted_label__lstm/ordinal,confidence__lstm/ordinal,predicted_id__transformer/ce,predicted_label__transformer/ce,confidence__transformer/ce,predicted_id__transformer/weighted_ce,predicted_label__transformer/weighted_ce,confidence__transformer/weighted_ce,predicted_id__transformer/ordinal,predicted_label__transformer/ordinal,confidence__transformer/ordinal,predicted_id__i3d_mlp/ce,predicted_label__i3d_mlp/ce,confidence__i3d_mlp/ce,predicted_id__i3d_mlp/weighted_ce,predicted_label__i3d_mlp/weighted_ce,confidence__i3d_mlp/weighted_ce,predicted_id__i3d_mlp/ordinal,predicted_label__i3d_mlp/ordinal,confidence__i3d_mlp/ordinal,predicted_id__openface_tcn_i3d_fusion/ce,predicted_label__openface_tcn_i3d_fusion/ce,confidence__openface_tcn_i3d_fusion/ce,predicted_id__openface_tcn_i3d_fusion/weighted_ce,predicted_label__openface_tcn_i3d_fusion/weighted_ce,confidence__openface_tcn_i3d_fusion/weighted_ce,predicted_id__openface_tcn_i3d_fusion/ordinal,predicted_label__openface_tcn_i3d_fusion/ordinal,confidence__openface_tcn_i3d_fusion/ordinal
video10_103_person13,18,0.8888888888888888,0.1547717145751626,0.8517243415117264,2,Engage,17,0,0.0,1,0.05555555555555555,17,0.9444444444444444,0,0.0,2,Engage,0.9696528911590576,2,Engage,0.9090090990066528,1,Disengage,1.0,2,Engage,0.9860888123512268,2,Engage,0.9314022064208984,2,Engage,0.9598449468612672,2,Engage,0.910222828388214,2,Engage,0.7698961496353149,2,Engage,0.4682989418506622,2,Engage,0.9574057459831238,2,Engage,0.9282911419868468,2,Engage,0.7761039733886719,2,Engage,0.8180235028266907,2,Engage,0.8585855960845947,2,Engage,0.9637212753295898,2,Engage,0.9736599326133728,2,Engage,0.754287600517273,2,Engage,0.3965435028076172
video10_103_person2,18,0.43137254901960786,0.6163301284079103,0.6258911821577284,1,Disengage,10,0,0.0,10,0.5555555555555556,7,0.3888888888888889,1,0.05555555555555555,1,Disengage,0.5469894409179688,2,Engage,0.3513857424259186,3,Highly Engage,1.0,2,Engage,0.8426612019538879,1,Disengage,0.8096793293952942,1,Disengage,0.5959470868110657,2,Engage,0.7511114478111267,2,Engage,0.7844153642654419,2,Engage,0.3830132484436035,1,Disengage,0.5719495415687561,1,Disengage,0.5069032311439514,1,Disengage,0.6604008078575134,1,Disengage,0.6672104597091675,1,Disengage,0.7475699782371521,1,Disengage,0.6287729740142822,2,Engage,0.4572155773639679,2,Engage,0.540833592414856,1,Disengage,0.4199822545051574
video10_109_person0,18,0.477124183006536,0.6121972227029931,0.7212831427653631,2,Engage,12,0,0.0,2,0.1111111111111111,12,0.6666666666666666,4,0.2222222222222222,2,Engage,0.6911209225654602,2,Engage,0.7418910264968872,2,Engage,1.0,2,Engage,0.9130238890647888,2,Engage,0.960239827632904,2,Engage,0.575869083404541,3,Highly Engage,0.5276471376419067,2,Engage,0.7444025278091431,2,Engage,0.4080734848976135,2,Engage,0.8867074251174927,1,Disengage,0.5180048942565918,1,Disengage,0.482615977525711,2,Engage,0.8946813344955444,3,Highly Engage,0.63630610704422,2,Engage,0.9226388931274414,2,Engage,0.9315963983535768,3,Highly Engage,0.6042724251747131,3,Highly Engage,0.5440052151679993
video10_110_person12,18,0.7908496732026143,0.25162916738782287,0.6335172570414014,2,Engage,16,0,0.0,0,0.0,16,0.8888888888888888,2,0.1111111111111111,2,Engage,0.8708530068397522,2,Engage,0.4925819635391235,2,Engage,1.0,2,Engage,0.7659959197044373,2,Engage,0.5047875642776489,2,Engage,0.419078528881073,2,Engage,0.720659077167511,2,Engage,0.7273515462875366,2,Engage,0.504259467124939,2,Engage,0.8487522602081299,2,Engage,0.5514649748802185,2,Engage,0.4723779261112213,2,Engage,0.4814934730529785,3,Highly Engage,0.707952618598938,2,Engage,0.5288169980049133,2,Engage,0.8340497612953186,2,Engage,0.4946617782115936,3,Highly Engage,0.4781737625598907
video10_110_person19,18,0.3006535947712418,0.8553885422075338,0.6204293453031116,2,Engage,8,1,0.05555555555555555,6,0.3333333333333333,8,0.4444444444444444,3,0.16666666666666666,2,Engage,0.6548292636871338,3,Highly Engage,0.9705045223236084,2,Engage,1.0,2,Engage,0.6776604652404785,1,Disengage,0.5799130201339722,1,Disengage,0.4554930627346039,2,Engage,0.687795102596283,1,Disengage,0.7204397916793823,1,Disengage,0.4360790848731994,1,Disengage,0.555080235004425,1,Disengage,0.3917534947395324,0,Highly Disengage,0.6365352869033813,2,Engage,0.5728257298469543,3,Highly Engage,0.600299596786499,3,Highly Engage,0.4566131830215454,2,Engage,0.7709656357765198,2,Engage,0.5889868140220642,2,Engage,0.4119539260864258
video10_110_person27,18,0.5294117647058824,0.4591479170272447,0.6285877840386497,2,Engage,12,0,0.0,6,0.3333333333333333,12,0.6666666666666666,0,0.0,2,Engage,0.762370228767395,2,Engage,0.5875571966171265,1,Disengage,1.0,2,Engage,0.6532568335533142,2,Engage,0.4943071007728576,1,Disengage,0.5187925696372986,2,Engage,0.8671818375587463,2,Engage,0.762428879737854,2,Engage,0.4385655522346496,2,Engage,0.8224512338638306,1,Disengage,0.4533872902393341,1,Disengage,0.4659053385257721,1,Disengage,0.556108295917511,2,Engage,0.4741676449775696,2,Engage,0.633626401424408,2,Engage,0.8239947557449341,1,Disengage,0.6083669066429138,2,Engage,0.3921120464801788
video10_111_person11,18,0.3790849673202614,0.6910511266271551,0.5804910295539432,1,Disengage,9,2,0.1111111111111111,9,0.5,7,0.3888888888888889,0,0.0,2,Engage,0.5542475581169128,2,Engage,0.3429234325885772,2,Engage,1.0,2,Engage,0.538914144039154,1,Disengage,0.5673060417175293,1,Disengage,0.4466208517551422,2,Engage,0.5568910241127014,1,Disengage,0.8501855134963989,1,Disengage,0.481887012720108,1,Disengage,0.5882400870323181,0,Highly Disengage,0.4193564653396606,0,Highly Disengage,0.6222149133682251,2,Engage,0.506671667098999,1,Disengage,0.635463535785675,1,Disengage,0.7656794786453247,1,Disengage,0.5484627485275269,1,Disengage,0.637336254119873,2,Engage,0.3864378035068512
video10_112_person27,18,0.41830065359477125,0.6258145836939114,0.6111916088395648,2,Engage,9,0,0.0,8,0.4444444444444444,9,0.5,1,0.05555555555555555,2,Engage,0.8315648436546326,3,Highly Engage,0.5532411336898804,2,Engage,1.0,2,Engage,0.6396653056144714,1,Disengage,0.4976596534252167,1,Disengage,0.4295421540737152,2,Engage,0.7982901930809021,2,Engage,0.7753022909164429,2,Engage,0.4198250770568847,2,Engage,0.6183502078056335,1,Disengage,0.6655740141868591,1,Disengage,0.4792409241199493,1,Disengage,0.6816018223762512,2,Engage,0.4415284097194671,1,Disengage,0.7458340525627136,1,Disengage,0.4546474814414978,1,Disengage,0.5971778631210327,2,Engage,0.3724035322666168
video10_114_person6,18,0.23529411764705882,0.9625632797054146,0.6742974039581087,1,Disengage,7,4,0.2222222222222222,7,0.3888888888888889,4,0.2222222222222222,3,0.16666666666666666,3,Highly Engage,0.3094778060913086,3,Highly Engage,0.3875002562999725,1,Disengage,1.0,2,Engage,0.6077280044555664,3,Highly Engage,0.9024890065193176,1,Disengage,0.7873455882072449,0,Highly Disengage,0.4825096130371094,0,Highly Disengage,0.9858195781707764,0,Highly Disengage,0.6630662679672241,0,Highly Disengage,0.7972148060798645,2,Engage,0.4382160305976867,2,Engage,0.4899346530437469,1,Disengage,0.7640089392662048,1,Disengage,0.9146945476531982,1,Disengage,0.9689690470695496,2,Engage,0.474907636642456,1,Disengage,0.7681703567504883,1,Disengage,0.3953011333942413
video10_117_person12,18,0.7908496732026143,0.25162916738782287,0.6972932285732694,2,Engage,16,0,0.0,0,0.0,16,0.8888888888888888,2,0.1111111111111111,2,Engage,0.8305137753486633,2,Engage,0.4227512776851654,2,Engage,1.0,2,Engage,0.8450259566307068,3,Highly Engage,0.6422350406646729,3,Highly Engage,0.6922839283943176,2,Engage,0.7907907366752625,2,Engage,0.6237747073173523,2,Engage,0.5162601470947266,2,Engage,0.8671846389770508,2,Engage,0.5659907460212708,2,Engage,0.5531980395317078,2,Engage,0.9361551403999328,2,Engage,0.4958437383174896,2,Engage,0.996025323867798,2,Engage,0.8658369779586792,2,Engage,0.4963077902793884,2,Engage,0.4111001491546631
video10_117_person6,18,0.5294117647058824,0.4591479170272447,0.6980337252219518,2,Engage,12,0,0.0,6,0.3333333333333333,12,0.6666666666666666,0,0.0,2,Engage,0.7027074694633484,1,Disengage,0.7239823341369629,1,Disengage,1.0,2,Engage,0.5135183930397034,1,Disengage,0.7473766803741455,1,Disengage,0.8243755102157593,2,Engage,0.8630034327507019,2,Engage,0.5899478197097778,2,Engage,0.4537197351455688,2,Engage,0.76026850938797,2,Engage,0.6770493984222412,2,Engage,0.6558492183685303,2,Engage,0.6767517924308777,1,Disengage,0.7339271903038025,1,Disengage,0.8673245906829834,2,Engage,0.7066661715507507,2,Engage,0.6932462453842163,2,Engage,0.3748925626277923
video10_118_person17,18,0.6339869281045751,0.38210225325431013,0.7037965340746773,2,Engage,14,0,0.0,4,0.2222222222222222,14,0.7777777777777778,0,0.0,2,Engage,0.6298556923866272,2,Engage,0.4558421075344085,2,Engage,1.0,2,Engage,0.7630810737609863,2,Engage,0.8592360615730286,1,Disengage,0.7680237889289856,2,Engage,0.6645961999893188,2,Engage,0.6500240564346313,1,Disengage,0.4598442316055298,2,Engage,0.7200212478637695,1,Disengage,0.5933882594108582,1,Disengage,0.5652535557746887,2,Engage,0.8879205584526062,2,Engage,0.8041460514068604,2,Engage,0.9103055000305176,2,Engage,0.928697109222412,2,Engage,0.5843618512153625,2,Engage,0.4237402677536011
video10_11_person6,18,0.47058823529411764,0.5,0.629264783528116,1,Disengage,9,0,0.0,9,0.5,9,0.5,0,0.0,2,Engage,0.8626401424407959,2,Engage,0.6914004683494568,2,Engage,1.0,2,Engage,0.7313469648361206,1,Disengage,0.5842613577842712,1,Disengage,0.7613908648490906,1,Disengage,0.48716601729393,2,Engage,0.7047368288040161,1,Disengage,0.5311694741249084,2,Engage,0.6667798757553101,1,Disengage,0.7882936596870422,1,Disengage,0.7596901655197144,2,Engage,0.5083892941474915,1,Disengage,0.3872086405754089,2,Engage,0.3934786021709442,2,Engage,0.49466073513031,1,Disengage,0.5587632060050964,1,Disengage,0.4153898060321808
video10_120_person1,18,0.41830065359477125,0.6258145836939114,0.6988853646649255,2,Engage,9,1,0.05555555555555555,8,0.4444444444444444,9,0.5,0,0.0,2,Engage,0.9039335250854492,2,Engage,0.708101749420166,1,Disengage,1.0,2,Engage,0.9746997356414796,2,Engage,0.7814620733261108,1,Disengage,0.7953322529792786,2,Engage,0.7286543250083923,1,Disengage,0.5913572907447815,1,Disengage,0.4513692855834961,2,Engage,0.6534789800643921,1,Disengage,0.6269882321357727,0,Highly Disengage,0.4966379404067993,2,Engage,0.6019691228866577,2,Engage,0.522962212562561,1,Disengage,0.9647550582885742,2,Engage,0.70285564661026,1,Disengage,0.7038058042526245,1,Disengage,0.3715733289718628
video10_121_person11,18,0.8888888888888888,0.1547717145751626,0.8719790892468559,3,Highly Engage,17,0,0.0,0,0.0,1,0.05555555555555555,17,0.9444444444444444,2,Engage,0.4652498960494995,3,Highly Engage,0.936576247215271,3,Highly Engage,1.0,3,Highly Engage,0.9451952576637268,3,Highly Engage,0.9894675612449646,3,Highly Engage,0.986666738986969,3,Highly Engage,0.6251189708709717,3,Highly Engage,0.8878531455993652,3,Highly Engage,0.7540789246559143,3,Highly Engage,0.4878406226634979,3,Highly Engage,0.8453128337860107,3,Highly Engage,0.8348208665847778,3,Highly Engage,0.9687122106552124,3,Highly Engage,0.9951090216636658,3,Highly Engage,0.9999822378158568,3,Highly Engage,0.9823344945907592,3,Highly Engage,0.9986637830734252,3,Highly Engage,0.9926407933235168
video10_121_person6,18,0.477124183006536,0.4955380299191111,0.6925715704758962,1,Disengage,10,0,0.0,10,0.5555555555555556,8,0.4444444444444444,0,0.0,2,Engage,0.7883172631263733,1,Disengage,0.6198533177375793,1,Disengage,1.0,1,Disengage,0.5879482626914978,1,Disengage,0.8626339435577393,1,Disengage,0.8697624206542969,2,Engage,0.5675672888755798,1,Disengage,0.6106023788452148,2,Engage,0.4851252436637878,2,Engage,0.762348473072052,2,Engage,0.6346771121025085,2,Engage,0.5993174314498901,2,Engage,0.7435665726661682,1,Disengage,0.6763499975204468,1,Disengage,0.9204347133636476,2,Engage,0.8666707277297974,1,Disengage,0.5051063299179077,1,Disengage,0.3660067915916443
video10_124_person41,18,1.0,-0.0,0.7588334017329745,2,Engage,18,0,0.0,0,0.0,18,1.0,0,0.0,2,Engage,0.9284591674804688,2,Engage,0.8456423282623291,2,Engage,1.0,2,Engage,0.7461311221122742,2,Engage,0.756507158279419,2,Engage,0.5246122479438782,2,Engage,0.8642266988754272,2,Engage,0.75258868932724,2,Engage,0.4635696411132812,2,Engage,0.8491977453231812,2,Engage,0.5013381242752075,2,Engage,0.5249311327934265,2,Engage,0.8101549744606018,2,Engage,0.9219468235969543,2,Engage,0.9643993377685548,2,Engage,0.9566493034362792,2,Engage,0.8304553627967834,2,Engage,0.4181913733482361
video10_125_person10,18,0.6928104575163399,0.40153586366205124,0.7216373085975647,2,Engage,15,0,0.0,2,0.1111111111111111,15,0.8333333333333334,1,0.05555555555555555,2,Engage,0.7873831391334534,2,Engage,0.7994056344032288,2,Engage,1.0,2,Engage,0.8440101146697998,2,Engage,0.92785906791687,2,Engage,0.7766163349151611,2,Engage,0.6424100399017334,2,Engage,0.5679055452346802,1,Disengage,0.5065543055534363,2,Engage,0.7895705699920654,3,Highly Engage,0.3466734290122986,1,Disengage,0.4294455349445343,2,Engage,0.876786470413208,2,Engage,0.524452805519104,2,Engage,0.9637150168418884,2,Engage,0.9770711064338684,2,Engage,0.8059906363487244,2,Engage,0.42362180352211
video10_127_person12,18,0.477124183006536,0.6121972227029931,0.5998801936705908,2,Engage,12,0,0.0,4,0.2222222222222222,12,0.6666666666666666,2,0.1111111111111111,2,Engage,0.8045993447303772,2,Engage,0.3522376716136932,1,Disengage,0.984902560710907,2,Engage,0.7235731482505798,3,Highly Engage,0.4638549089431762,3,Highly Engage,0.4116943776607513,2,Engage,0.844373881816864,2,Engage,0.6444993615150452,2,Engage,0.4891633093357086,2,Engage,0.7112590670585632,1,Disengage,0.5745187997817993,1,Disengage,0.6861972808837891,2,Engage,0.5851278901100159,2,Engage,0.5056765079498291,2,Engage,0.5178305506706238,2,Engage,0.6119974255561829,1,Disengage,0.4882501363754272,2,Engage,0.3980872631072998
video10_12_person6,18,0.477124183006536,0.4955380299191111,0.6700974603494009,2,Engage,10,0,0.0,8,0.4444444444444444,10,0.5555555555555556,0,0.0,2,Engage,0.8666417002677917,2,Engage,0.7251512408256531,2,Engage,1.0,2,Engage,0.9645580649375916,2,Engage,0.7993183732032776,1,Disengage,0.5315807461738586,2,Engage,0.4637466967105865,2,Engage,0.6782559752464294,1,Disengage,0.5082337856292725,2,Engage,0.6219021677970886,1,Disengage,0.6802896857261658,1,Disengage,0.7120990753173828,2,Engage,0.503484845161438,1,Disengage,0.7741885185241699,1,Disengage,0.5910311341285706,2,Engage,0.5029488205909729,1,Disengage,0.7137163281440735,1,Disengage,0.4246071279048919
