run_a,run_b,cohens_kappa,raw_agreement
openface_mlp/ce,openface_mlp/weighted_ce,0.34598763729053983,0.674037674037674
openface_mlp/ce,openface_mlp/ordinal,0.25986812580730345,0.6183456183456183
openface_mlp/ce,temporal_cnn/ce,0.5043178788828773,0.8525798525798526
openface_mlp/ce,temporal_cnn/weighted_ce,0.3422383502763183,0.6895986895986896
openface_mlp/ce,temporal_cnn/ordinal,0.27933114035087714,0.6085176085176085
openface_mlp/ce,lstm/ce,0.3918822594058139,0.8214578214578214
openface_mlp/ce,lstm/weighted_ce,0.22497087108498692,0.5814905814905815
openface_mlp/ce,lstm/ordinal,0.14511960111710465,0.4873054873054873
openface_mlp/ce,transformer/ce,0.5550473849338552,0.8615888615888616
openface_mlp/ce,transformer/weighted_ce,0.2630754545831826,0.5831285831285832
openface_mlp/ce,transformer/ordinal,0.20808561236623058,0.5233415233415234
openface_mlp/ce,i3d_mlp/ce,0.41926035947330653,0.8132678132678133
openface_mlp/ce,i3d_mlp/weighted_ce,0.26396951430013005,0.6281736281736282
openface_mlp/ce,i3d_mlp/ordinal,0.2675976483058681,0.6412776412776413
openface_mlp/ce,openface_tcn_i3d_fusion/ce,0.43754836807645525,0.8157248157248157
openface_mlp/ce,openface_tcn_i3d_fusion/weighted_ce,0.266284752824293,0.6191646191646192
openface_mlp/ce,openface_tcn_i3d_fusion/ordinal,0.18111082094867292,0.5372645372645373
openface_mlp/weighted_ce,openface_mlp/ordinal,0.3406108057356312,0.6052416052416052
openface_mlp/weighted_ce,temporal_cnn/ce,0.3585584639024968,0.6723996723996724
openface_mlp/weighted_ce,temporal_cnn/weighted_ce,0.48072487008907205,0.6928746928746928
openface_mlp/weighted_ce,temporal_cnn/ordinal,0.4878218689506615,0.678951678951679
openface_mlp/weighted_ce,lstm/ce,0.27692149771804875,0.6314496314496314
openface_mlp/weighted_ce,lstm/weighted_ce,0.3918949880976328,0.6208026208026208
openface_mlp/weighted_ce,lstm/ordinal,0.30828037983356205,0.5462735462735463
openface_mlp/weighted_ce,transformer/ce,0.4083818193863672,0.6945126945126945
openface_mlp/weighted_ce,transformer/weighted_ce,0.48946516421283903,0.6748566748566749
openface_mlp/weighted_ce,transformer/ordinal,0.4078921926201625,0.6117936117936118
openface_mlp/weighted_ce,i3d_mlp/ce,0.29203802082460917,0.6314496314496314
openface_mlp/weighted_ce,i3d_mlp/weighted_ce,0.38059023685679605,0.6248976248976249
openface_mlp/weighted_ce,i3d_mlp/ordinal,0.3659180267871833,0.61998361998362
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/ce,0.35039685020483613,0.6584766584766585
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.41961388202230576,0.6445536445536445
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.30922189840755554,0.5561015561015561
openface_mlp/ordinal,temporal_cnn/ce,0.1948030703088457,0.5773955773955773
openface_mlp/ordinal,temporal_cnn/weighted_ce,0.22385583530475184,0.538083538083538
openface_mlp/ordinal,temporal_cnn/ordinal,0.2791734995080355,0.5503685503685504
openface_mlp/ordinal,lstm/ce,0.1958560773498258,0.5765765765765766
openface_mlp/ordinal,lstm/weighted_ce,0.22315743082162853,0.5176085176085176
openface_mlp/ordinal,lstm/ordinal,0.19642351114816436,0.475020475020475
openface_mlp/ordinal,transformer/ce,0.21683542827589353,0.5855855855855856
openface_mlp/ordinal,transformer/weighted_ce,0.27234803337306324,0.538083538083538
openface_mlp/ordinal,transformer/ordinal,0.2131431970653359,0.48894348894348894
openface_mlp/ordinal,i3d_mlp/ce,0.16719177279105568,0.556920556920557
openface_mlp/ordinal,i3d_mlp/weighted_ce,0.19381908798534642,0.5176085176085176
openface_mlp/ordinal,i3d_mlp/ordinal,0.16355705531165698,0.5028665028665029
openface_mlp/ordinal,openface_tcn_i3d_fusion/ce,0.1926013158334665,0.5626535626535627
openface_mlp/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.2602495287477681,0.5511875511875511
openface_mlp/ordinal,openface_tcn_i3d_fusion/ordinal,0.21525896592217564,0.49303849303849306
temporal_cnn/ce,temporal_cnn/weighted_ce,0.4709763770835633,0.7428337428337428
temporal_cnn/ce,temporal_cnn/ordinal,0.3680285096092657,0.6502866502866503
temporal_cnn/ce,lstm/ce,0.36950504101378967,0.8001638001638002
temporal_cnn/ce,lstm/weighted_ce,0.2605473419467573,0.592956592956593
temporal_cnn/ce,lstm/ordinal,0.181510669172816,0.5028665028665029
temporal_cnn/ce,transformer/ce,0.5649897646781761,0.855036855036855
temporal_cnn/ce,transformer/weighted_ce,0.3035837381684152,0.5995085995085995
temporal_cnn/ce,transformer/ordinal,0.2564052865570752,0.5470925470925471
temporal_cnn/ce,i3d_mlp/ce,0.4892281949382974,0.8247338247338247
temporal_cnn/ce,i3d_mlp/weighted_ce,0.3484000560928232,0.6633906633906634
temporal_cnn/ce,i3d_mlp/ordinal,0.3605681558581052,0.678951678951679
temporal_cnn/ce,openface_tcn_i3d_fusion/ce,0.4749768206136251,0.8165438165438166
temporal_cnn/ce,openface_tcn_i3d_fusion/weighted_ce,0.34951362938647834,0.6552006552006552
temporal_cnn/ce,openface_tcn_i3d_fusion/ordinal,0.24626287426686988,0.5667485667485668
temporal_cnn/weighted_ce,temporal_cnn/ordinal,0.6398733909558463,0.7772317772317773
temporal_cnn/weighted_ce,lstm/ce,0.2947172743756572,0.6584766584766585
temporal_cnn/weighted_ce,lstm/weighted_ce,0.4222008995502249,0.6445536445536445
temporal_cnn/weighted_ce,lstm/ordinal,0.26705317258372774,0.5233415233415234
temporal_cnn/weighted_ce,transformer/ce,0.46152589713016345,0.7346437346437347
temporal_cnn/weighted_ce,transformer/weighted_ce,0.4913659928362457,0.6797706797706797
temporal_cnn/weighted_ce,transformer/ordinal,0.4628061961510007,0.6502866502866503
temporal_cnn/weighted_ce,i3d_mlp/ce,0.3831497321088162,0.6928746928746928
temporal_cnn/weighted_ce,i3d_mlp/weighted_ce,0.48513975300201617,0.6928746928746928
temporal_cnn/weighted_ce,i3d_mlp/ordinal,0.43676578121903387,0.6683046683046683
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/ce,0.4504407404439459,0.723996723996724
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.4709399734242301,0.6805896805896806
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.36024849322666486,0.5945945945945946
temporal_cnn/ordinal,lstm/ce,0.2692501459792873,0.5962325962325963
temporal_cnn/ordinal,lstm/weighted_ce,0.4321450197578287,0.6339066339066339
temporal_cnn/ordinal,lstm/ordinal,0.30948367596732695,0.5364455364455365
temporal_cnn/ordinal,transformer/ce,0.37897935233771174,0.6535626535626535
temporal_cnn/ordinal,transformer/weighted_ce,0.5177488273863609,0.6838656838656839
temporal_cnn/ordinal,transformer/ordinal,0.4971461244269757,0.6625716625716626
temporal_cnn/ordinal,i3d_mlp/ce,0.3549658647594278,0.638001638001638
temporal_cnn/ordinal,i3d_mlp/weighted_ce,0.49963224297722464,0.6846846846846847
temporal_cnn/ordinal,i3d_mlp/ordinal,0.4615697416166502,0.6633906633906634
temporal_cnn/ordinal,openface_tcn_i3d_fusion/ce,0.3685491561772004,0.642915642915643
temporal_cnn/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.4859267435136607,0.6732186732186732
temporal_cnn/ordinal,openface_tcn_i3d_fusion/ordinal,0.40379104195789295,0.6060606060606061
lstm/ce,lstm/weighted_ce,0.30544125096892716,0.6183456183456183
lstm/ce,lstm/ordinal,0.2587980065923544,0.5503685503685504
lstm/ce,transformer/ce,0.37470761689735554,0.7936117936117936
lstm/ce,transformer/weighted_ce,0.23105710530159196,0.5585585585585585
lstm/ce,transformer/ordinal,0.2035374242606216,0.5151515151515151
lstm/ce,i3d_mlp/ce,0.3137351574039928,0.7665847665847666
lstm/ce,i3d_mlp/weighted_ce,0.20189856145959229,0.588042588042588
lstm/ce,i3d_mlp/ordinal,0.23064646240329412,0.6142506142506142
lstm/ce,openface_tcn_i3d_fusion/ce,0.3796381406713596,0.7854217854217854
lstm/ce,openface_tcn_i3d_fusion/weighted_ce,0.24667632877170487,0.6011466011466011
lstm/ce,openface_tcn_i3d_fusion/ordinal,0.16147271993401546,0.5192465192465192
lstm/weighted_ce,lstm/ordinal,0.4290103974847741,0.6183456183456183
lstm/weighted_ce,transformer/ce,0.30327597337440493,0.6134316134316135
lstm/weighted_ce,transformer/weighted_ce,0.43999004547408427,0.6347256347256347
lstm/weighted_ce,transformer/ordinal,0.40069439146896213,0.5995085995085995
lstm/weighted_ce,i3d_mlp/ce,0.22374170752812228,0.5667485667485668
lstm/weighted_ce,i3d_mlp/weighted_ce,0.3421568281599261,0.5872235872235873
lstm/weighted_ce,i3d_mlp/ordinal,0.3356150951853496,0.5864045864045864
lstm/weighted_ce,openface_tcn_i3d_fusion/ce,0.27171436410703,0.5904995904995906
lstm/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.32822335628070276,0.5749385749385749
lstm/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.2743308252127791,0.5225225225225225
lstm/ordinal,transformer/ce,0.18916458501917466,0.5053235053235053
lstm/ordinal,transformer/weighted_ce,0.29468759180886284,0.5233415233415234
lstm/ordinal,transformer/ordinal,0.2936454203477664,0.5143325143325144
lstm/ordinal,i3d_mlp/ce,0.12363779812291453,0.46355446355446356
lstm/ordinal,i3d_mlp/weighted_ce,0.25357106892521586,0.5077805077805078
lstm/ordinal,i3d_mlp/ordinal,0.2412568043515143,0.502047502047502
lstm/ordinal,openface_tcn_i3d_fusion/ce,0.1930582986440933,0.5036855036855037
lstm/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.26964445303620255,0.515970515970516
lstm/ordinal,openface_tcn_i3d_fusion/ordinal,0.25216606978097567,0.4905814905814906
transformer/ce,transformer/weighted_ce,0.38146757085724226,0.6420966420966421
transformer/ce,transformer/ordinal,0.3157600947513872,0.5814905814905815
transformer/ce,i3d_mlp/ce,0.44878241356382975,0.8042588042588042
transformer/ce,i3d_mlp/weighted_ce,0.3334202538507287,0.6519246519246519
transformer/ce,i3d_mlp/ordinal,0.3313253012048193,0.6601146601146601
transformer/ce,openface_tcn_i3d_fusion/ce,0.4605258516825732,0.8050778050778051
transformer/ce,openface_tcn_i3d_fusion/weighted_ce,0.33119706596441,0.6420966420966421
transformer/ce,openface_tcn_i3d_fusion/ordinal,0.21207918864999742,0.5438165438165438
transformer/weighted_ce,transformer/ordinal,0.6849126080612984,0.7870597870597871
