clip_id,num_models,agreement_rate,prediction_entropy,mean_confidence,majority_class_id,majority_label,majority_vote_count,vote_count_0_Highly Disengage,vote_proportion_0_Highly Disengage,vote_count_1_Disengage,vote_proportion_1_Disengage,vote_count_2_Engage,vote_proportion_2_Engage,vote_count_3_Highly Engage,vote_proportion_3_Highly Engage,predicted_id__openface_mlp/ce,predicted_label__openface_mlp/ce,confidence__openface_mlp/ce,predicted_id__openface_mlp/weighted_ce,predicted_label__openface_mlp/weighted_ce,confidence__openface_mlp/weighted_ce,predicted_id__openface_mlp/ordinal,predicted_label__openface_mlp/ordinal,confidence__openface_mlp/ordinal,predicted_id__temporal_cnn/ce,predicted_label__temporal_cnn/ce,confidence__temporal_cnn/ce,predicted_id__temporal_cnn/weighted_ce,predicted_label__temporal_cnn/weighted_ce,confidence__temporal_cnn/weighted_ce,predicted_id__temporal_cnn/ordinal,predicted_label__temporal_cnn/ordinal,confidence__temporal_cnn/ordinal,predicted_id__lstm/ce,predicted_label__lstm/ce,confidence__lstm/ce,predicted_id__lstm/weighted_ce,predicted_label__lstm/weighted_ce,confidence__lstm/weighted_ce,predicted_id__lstm/ordinal,predicted_label__lstm/ordinal,confidence__lstm/ordinal,predicted_id__transformer/ce,predicted_label__transformer/ce,confidence__transformer/ce,predicted_id__transformer/weighted_ce,predicted_label__transformer/weighted_ce,confidence__transformer/weighted_ce,predicted_id__transformer/ordinal,predicted_label__transformer/ordinal,confidence__transformer/ordinal,predicted_id__i3d_mlp/ce,predicted_label__i3d_mlp/ce,confidence__i3d_mlp/ce,predicted_id__i3d_mlp/weighted_ce,predicted_label__i3d_mlp/weighted_ce,confidence__i3d_mlp/weighted_ce,predicted_id__i3d_mlp/ordinal,predicted_label__i3d_mlp/ordinal,confidence__i3d_mlp/ordinal,predicted_id__openface_tcn_i3d_fusion/ce,predicted_label__openface_tcn_i3d_fusion/ce,confidence__openface_tcn_i3d_fusion/ce,predicted_id__openface_tcn_i3d_fusion/weighted_ce,predicted_label__openface_tcn_i3d_fusion/weighted_ce,confidence__openface_tcn_i3d_fusion/weighted_ce,predicted_id__openface_tcn_i3d_fusion/ordinal,predicted_label__openface_tcn_i3d_fusion/ordinal,confidence__openface_tcn_i3d_fusion/ordinal
first_quarter_0004_10s,18,0.2679738562091503,0.9182958340544894,0.7072720593876309,2,Engage,8,4,0.2222222222222222,2,0.1111111111111111,8,0.4444444444444444,4,0.2222222222222222,2,Engage,0.5980403423309326,0,Highly Disengage,0.41918742656707764,1,Disengage,1.0,2,Engage,0.991874635219574,2,Engage,0.9997497200965881,3,Highly Engage,0.8856253623962402,2,Engage,0.37380242347717285,2,Engage,0.44099923968315125,0,Highly Disengage,0.8377649784088135,2,Engage,0.8118179440498352,2,Engage,0.5780724883079529,2,Engage,0.47273746132850647,3,Highly Engage,0.5905822515487671,3,Highly Engage,0.8030704259872437,3,Highly Engage,0.902808427810669,0,Highly Disengage,0.7884533405303955,0,Highly Disengage,0.7258515954017639,1,Disengage,0.5104590058326721
first_quarter_0006_10s,18,0.33986928104575165,0.8424887242433629,0.6903515739573373,2,Engage,10,3,0.16666666666666666,3,0.16666666666666666,10,0.5555555555555556,2,0.1111111111111111,2,Engage,0.8079431056976318,2,Engage,0.28989338874816895,1,Disengage,1.0,2,Engage,0.6562032103538513,2,Engage,0.9999446868896484,3,Highly Engage,0.9561123847961426,2,Engage,0.33825400471687317,0,Highly Disengage,0.5201449394226074,0,Highly Disengage,0.856834888458252,2,Engage,0.8310259580612183,2,Engage,0.600003719329834,2,Engage,0.6337974071502686,2,Engage,0.5119661092758179,3,Highly Engage,0.4716191589832306,2,Engage,0.8289607167243958,1,Disengage,0.7446252703666687,0,Highly Disengage,0.8953288197517395,1,Disengage,0.48367056250572205
first_quarter_0009_10s,18,0.45751633986928103,0.7023392365317855,0.7320889698134528,3,Highly Engage,12,1,0.05555555555555555,2,0.1111111111111111,3,0.16666666666666666,12,0.6666666666666666,2,Engage,0.7061558961868286,3,Highly Engage,0.9034436345100403,2,Engage,1.0,3,Highly Engage,0.9932743310928345,3,Highly Engage,0.9996811151504517,3,Highly Engage,0.9999816417694092,3,Highly Engage,0.7130793929100037,3,Highly Engage,0.7867307662963867,3,Highly Engage,0.805233359336853,3,Highly Engage,0.7340197563171387,1,Disengage,0.4084167182445526,3,Highly Engage,0.6096652150154114,3,Highly Engage,0.6419191956520081,3,Highly Engage,0.4045172929763794,3,Highly Engage,0.6556846499443054,0,Highly Disengage,0.7605842351913452,1,Disengage,0.5886637568473816,2,Engage,0.4665504992008209
first_quarter_0010_10s,18,0.3790849673202614,0.6910511266271551,0.6701523164908091,2,Engage,9,0,0.0,7,0.3888888888888889,9,0.5,2,0.1111111111111111,1,Disengage,0.7307421565055847,2,Engage,0.28989338874816895,1,Disengage,1.0,2,Engage,0.9964117407798767,2,Engage,0.9999983310699463,2,Engage,0.5540143847465515,2,Engage,0.6971964240074158,1,Disengage,0.515674352645874,3,Highly Engage,0.6915962100028992,1,Disengage,0.5033714175224304,1,Disengage,0.602531909942627,1,Disengage,0.7971829771995544,2,Engage,0.7952740788459778,2,Engage,0.5612399578094482,3,Highly Engage,0.6803479194641113,1,Disengage,0.6402653455734253,2,Engage,0.5015015006065369,2,Engage,0.5054996013641357
first_quarter_0011_10s,18,0.24836601307189543,0.9388201415867107,0.7238142788410187,0,Highly Disengage,7,7,0.3888888888888889,5,0.2777777777777778,4,0.2222222222222222,2,0.1111111111111111,1,Disengage,0.6048184633255005,1,Disengage,0.28718915581703186,1,Disengage,1.0,2,Engage,0.9960583448410034,3,Highly Engage,0.939990758895874,3,Highly Engage,0.9971842169761658,1,Disengage,0.5981202721595764,1,Disengage,0.4558418095111847,0,Highly Disengage,0.8497164249420166,2,Engage,0.30368971824645996,0,Highly Disengage,0.8631689548492432,2,Engage,0.4157566428184509,2,Engage,0.5670211315155029,0,Highly Disengage,0.5937579870223999,0,Highly Disengage,0.9407323002815247,0,Highly Disengage,0.6710184216499329,0,Highly Disengage,0.9972968697547913,0,Highly Disengage,0.9472955465316772
first_quarter_0013_10s,18,0.2679738562091503,0.8941079061856881,0.7128185662958357,2,Engage,7,1,0.05555555555555555,5,0.2777777777777778,7,0.3888888888888889,5,0.2777777777777778,1,Disengage,0.7253907918930054,2,Engage,0.28478097915649414,1,Disengage,1.0,2,Engage,0.9998717308044434,2,Engage,0.9667647480964661,2,Engage,0.7158944606781006,2,Engage,0.7913891673088074,2,Engage,0.6433621644973755,3,Highly Engage,0.6534150242805481,1,Disengage,0.6042731404304504,1,Disengage,0.5453572869300842,1,Disengage,0.5372225046157837,2,Engage,0.49565595388412476,3,Highly Engage,0.8171892762184143,3,Highly Engage,0.9630958437919617,0,Highly Disengage,0.7473742961883545,3,Highly Engage,0.7653560042381287,3,Highly Engage,0.5743408203125
first_quarter_0014_10s,18,0.3790849673202614,0.6910511266271551,0.6823000659545263,2,Engage,9,0,0.0,7,0.3888888888888889,9,0.5,2,0.1111111111111111,1,Disengage,0.8190251588821411,2,Engage,0.28989338874816895,1,Disengage,1.0,2,Engage,0.9120671153068542,2,Engage,0.9707194566726685,3,Highly Engage,0.9961974620819092,1,Disengage,0.5587181448936462,3,Highly Engage,0.3543039560317993,2,Engage,0.3420639932155609,1,Disengage,0.6749947667121887,1,Disengage,0.7884871959686279,1,Disengage,0.7268260717391968,2,Engage,0.8337413668632507,2,Engage,0.6959439516067505,2,Engage,0.705741822719574,1,Disengage,0.5594782829284668,2,Engage,0.5473154783248901,2,Engage,0.5058835744857788
first_quarter_0015_10s,18,0.477124183006536,0.4955380299191111,0.6977899289793439,2,Engage,10,0,0.0,8,0.4444444444444444,10,0.5555555555555556,0,0.0,1,Disengage,0.8052812218666077,2,Engage,0.3537382185459137,1,Disengage,1.0,2,Engage,0.8646290898323059,2,Engage,0.9938919544219971,2,Engage,0.7541095614433289,2,Engage,0.4635995626449585,2,Engage,0.300445556640625,1,Disengage,0.35272395610809326,1,Disengage,0.6321133375167847,1,Disengage,0.7861201763153076,1,Disengage,0.8340675234794617,2,Engage,0.7608093023300171,2,Engage,0.7188773155212402,2,Engage,0.9719972014427185,1,Disengage,0.5613052845001221,1,Disengage,0.8546568155288696,2,Engage,0.5518526434898376
first_quarter_0016_10s,18,0.26143790849673204,0.9206250851407775,0.6257316387361951,2,Engage,7,2,0.1111111111111111,6,0.3333333333333333,7,0.3888888888888889,3,0.16666666666666666,1,Disengage,0.6156680583953857,1,Disengage,0.28471189737319946,1,Disengage,1.0,2,Engage,0.9983047246932983,2,Engage,0.6988113522529602,2,Engage,0.664877712726593,2,Engage,0.7834219336509705,2,Engage,0.6221252679824829,3,Highly Engage,0.6479004621505737,1,Disengage,0.49063801765441895,1,Disengage,0.43337950110435486,0,Highly Disengage,0.420789897441864,2,Engage,0.48322153091430664,3,Highly Engage,0.7595665454864502,3,Highly Engage,0.9492661356925964,0,Highly Disengage,0.5437746047973633,1,Disengage,0.3779047727584839,2,Engage,0.4888070821762085
first_quarter_0018_10s,18,0.3137254901960784,0.8588801260706668,0.6842848228083717,2,Engage,9,2,0.1111111111111111,5,0.2777777777777778,9,0.5,2,0.1111111111111111,2,Engage,0.8065635561943054,2,Engage,0.2974347770214081,1,Disengage,1.0,2,Engage,0.9616434574127197,3,Highly Engage,0.9020317196846008,3,Highly Engage,0.9991214871406555,2,Engage,0.5810569524765015,2,Engage,0.43909528851509094,0,Highly Disengage,0.7473070025444031,2,Engage,0.8567298650741577,1,Disengage,0.4951587915420532,2,Engage,0.5370320081710815,2,Engage,0.6887508630752563,1,Disengage,0.49377039074897766,2,Engage,0.6484726071357727,1,Disengage,0.761470377445221,0,Highly Disengage,0.6205497980117798,1,Disengage,0.4809378683567047
