run_a,run_b,cohens_kappa,raw_agreement
openface_mlp/ce,openface_mlp/weighted_ce,0.05148748524936353,0.3233695652173913
openface_mlp/ce,openface_mlp/ordinal,0.2915209197646358,0.6141304347826086
openface_mlp/ce,temporal_cnn/ce,0.0533137646146995,0.5760869565217391
openface_mlp/ce,temporal_cnn/weighted_ce,-0.0864761904761906,0.4945652173913043
openface_mlp/ce,temporal_cnn/ordinal,-0.014684442941959475,0.2907608695652174
openface_mlp/ce,lstm/ce,0.08400746733042941,0.391304347826087
openface_mlp/ce,lstm/weighted_ce,0.1134968650313497,0.4048913043478261
openface_mlp/ce,lstm/ordinal,-0.02403883663473616,0.12771739130434784
openface_mlp/ce,transformer/ce,0.23416526689756656,0.6195652173913043
openface_mlp/ce,transformer/weighted_ce,0.24081671146319616,0.5244565217391305
openface_mlp/ce,transformer/ordinal,0.2023957957048138,0.4945652173913043
openface_mlp/ce,i3d_mlp/ce,-0.026315452812567752,0.4076086956521739
openface_mlp/ce,i3d_mlp/weighted_ce,0.012851548261068602,0.22010869565217392
openface_mlp/ce,i3d_mlp/ordinal,0.004320715290670019,0.11684782608695653
openface_mlp/ce,openface_tcn_i3d_fusion/ce,0.047414609508176,0.22010869565217392
openface_mlp/ce,openface_tcn_i3d_fusion/weighted_ce,0.0053961039568311,0.21467391304347827
openface_mlp/ce,openface_tcn_i3d_fusion/ordinal,0.07590235650185695,0.483695652173913
openface_mlp/weighted_ce,openface_mlp/ordinal,-0.00876807579896477,0.22010869565217392
openface_mlp/weighted_ce,temporal_cnn/ce,0.07396239801347992,0.38315217391304346
openface_mlp/weighted_ce,temporal_cnn/weighted_ce,0.10878066121578389,0.4076086956521739
openface_mlp/weighted_ce,temporal_cnn/ordinal,0.05842875718300422,0.33695652173913043
openface_mlp/weighted_ce,lstm/ce,0.1790085554054608,0.4076086956521739
openface_mlp/weighted_ce,lstm/weighted_ce,0.17500507202272264,0.39945652173913043
openface_mlp/weighted_ce,lstm/ordinal,0.12995675156174913,0.33152173913043476
openface_mlp/weighted_ce,transformer/ce,0.08889130198718642,0.3804347826086957
openface_mlp/weighted_ce,transformer/weighted_ce,0.09027912952076922,0.30978260869565216
openface_mlp/weighted_ce,transformer/ordinal,0.0879627864414535,0.29347826086956524
openface_mlp/weighted_ce,i3d_mlp/ce,-0.035918474228603836,0.29891304347826086
openface_mlp/weighted_ce,i3d_mlp/weighted_ce,-0.008047199534426452,0.25815217391304346
openface_mlp/weighted_ce,i3d_mlp/ordinal,0.04087588302775358,0.296195652173913
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/ce,-0.016687302496627643,0.1875
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.07789815019529822,0.2608695652173913
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/ordinal,0.02734834732999547,0.2798913043478261
openface_mlp/ordinal,temporal_cnn/ce,-0.001256643493699361,0.358695652173913
openface_mlp/ordinal,temporal_cnn/weighted_ce,-0.13373075896432063,0.24728260869565216
openface_mlp/ordinal,temporal_cnn/ordinal,0.01138116933800426,0.1956521739130435
openface_mlp/ordinal,lstm/ce,0.0041198804426850755,0.2717391304347826
openface_mlp/ordinal,lstm/weighted_ce,0.004593242829437738,0.2798913043478261
openface_mlp/ordinal,lstm/ordinal,-0.0035550675462834302,0.1766304347826087
openface_mlp/ordinal,transformer/ce,-0.018003530986089755,0.33152173913043476
openface_mlp/ordinal,transformer/weighted_ce,-0.0062281634513139394,0.41304347826086957
openface_mlp/ordinal,transformer/ordinal,0.008489148241920486,0.4592391304347826
openface_mlp/ordinal,i3d_mlp/ce,0.027150871902323348,0.266304347826087
openface_mlp/ordinal,i3d_mlp/weighted_ce,-0.02170206307971112,0.15489130434782608
openface_mlp/ordinal,i3d_mlp/ordinal,-0.00011781986128678312,0.059782608695652176
openface_mlp/ordinal,openface_tcn_i3d_fusion/ce,0.045390536491365485,0.3342391304347826
openface_mlp/ordinal,openface_tcn_i3d_fusion/weighted_ce,-0.014793802199292605,0.33695652173913043
openface_mlp/ordinal,openface_tcn_i3d_fusion/ordinal,0.1755332546763353,0.5407608695652174
temporal_cnn/ce,temporal_cnn/weighted_ce,0.3978058449340831,0.8070652173913043
temporal_cnn/ce,temporal_cnn/ordinal,0.11452022669532935,0.46467391304347827
temporal_cnn/ce,lstm/ce,0.045303867403314935,0.41304347826086957
temporal_cnn/ce,lstm/weighted_ce,0.08289274484686149,0.41847826086956524
temporal_cnn/ce,lstm/ordinal,0.015317916627856643,0.14130434782608695
temporal_cnn/ce,transformer/ce,0.16766223974946348,0.6820652173913043
temporal_cnn/ce,transformer/weighted_ce,0.10196543991557838,0.3967391304347826
temporal_cnn/ce,transformer/ordinal,0.10808580858085814,0.36141304347826086
temporal_cnn/ce,i3d_mlp/ce,-0.02342100854414486,0.5489130434782609
temporal_cnn/ce,i3d_mlp/weighted_ce,-0.03544082901148027,0.22010869565217392
temporal_cnn/ce,i3d_mlp/ordinal,-0.004253952965727725,0.16847826086956522
temporal_cnn/ce,openface_tcn_i3d_fusion/ce,0.02254489258779302,0.10326086956521739
temporal_cnn/ce,openface_tcn_i3d_fusion/weighted_ce,0.02366485973043364,0.11956521739130435
temporal_cnn/ce,openface_tcn_i3d_fusion/ordinal,0.01603013202041359,0.43478260869565216
temporal_cnn/weighted_ce,temporal_cnn/ordinal,0.15629984051036672,0.5
temporal_cnn/weighted_ce,lstm/ce,0.09103117505995217,0.44021739130434784
temporal_cnn/weighted_ce,lstm/weighted_ce,0.10154586688882705,0.4266304347826087
temporal_cnn/weighted_ce,lstm/ordinal,0.024294378748348167,0.14945652173913043
temporal_cnn/weighted_ce,transformer/ce,0.10916105605567727,0.6521739130434783
temporal_cnn/weighted_ce,transformer/weighted_ce,0.07944449236608297,0.3695652173913043
temporal_cnn/weighted_ce,transformer/ordinal,0.07743318102785968,0.32608695652173914
temporal_cnn/weighted_ce,i3d_mlp/ce,-0.04411267986219003,0.5434782608695652
temporal_cnn/weighted_ce,i3d_mlp/weighted_ce,-0.034452402865031484,0.23641304347826086
temporal_cnn/weighted_ce,i3d_mlp/ordinal,-0.0063190569454196766,0.1956521739130435
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/ce,0.007983714494735894,0.07880434782608696
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/weighted_ce,0.020167686381146743,0.10597826086956522
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/ordinal,-0.037230044595881084,0.38858695652173914
temporal_cnn/ordinal,lstm/ce,0.012203009788279817,0.3233695652173913
temporal_cnn/ordinal,lstm/weighted_ce,0.015364657234361756,0.2826086956521739
temporal_cnn/ordinal,lstm/ordinal,0.0034655103355798467,0.15489130434782608
temporal_cnn/ordinal,transformer/ce,0.061291629913939216,0.41847826086956524
temporal_cnn/ordinal,transformer/weighted_ce,0.011578907406704309,0.23097826086956522
temporal_cnn/ordinal,transformer/ordinal,-0.011251810316016186,0.1956521739130435
temporal_cnn/ordinal,i3d_mlp/ce,0.11307589880159796,0.5081521739130435
temporal_cnn/ordinal,i3d_mlp/weighted_ce,0.04635374844879203,0.421195652173913
temporal_cnn/ordinal,i3d_mlp/ordinal,-0.055526583042845745,0.4320652173913043
temporal_cnn/ordinal,openface_tcn_i3d_fusion/ce,0.009126630034909877,0.06521739130434782
temporal_cnn/ordinal,openface_tcn_i3d_fusion/weighted_ce,0.015640337674236005,0.11141304347826086
temporal_cnn/ordinal,openface_tcn_i3d_fusion/ordinal,-0.014928952575094412,0.25
lstm/ce,lstm/weighted_ce,0.20781147000659195,0.4320652173913043
lstm/ce,lstm/ordinal,0.10215592415302976,0.28532608695652173
lstm/ce,transformer/ce,0.09380662547042695,0.42391304347826086
lstm/ce,transformer/weighted_ce,0.09299424570439807,0.3342391304347826
lstm/ce,transformer/ordinal,0.06637709772951617,0.3016304347826087
lstm/ce,i3d_mlp/ce,-0.029755872869645428,0.33967391304347827
lstm/ce,i3d_mlp/weighted_ce,-0.05772811918063314,0.22826086956521738
lstm/ce,i3d_mlp/ordinal,0.014114918629293483,0.2717391304347826
lstm/ce,openface_tcn_i3d_fusion/ce,0.011392632524708013,0.1875
lstm/ce,openface_tcn_i3d_fusion/weighted_ce,0.05606694560669456,0.23369565217391305
lstm/ce,openface_tcn_i3d_fusion/ordinal,0.02995169082125604,0.3179347826086957
lstm/weighted_ce,lstm/ordinal,0.1874039938556068,0.375
