run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse
i3d_mlp/ce,0.5489130434782609,0.2870917396779466,0.24887760969568296,0.5455833737191914,0.5516304347826086,0.7853260869565217
i3d_mlp/ordinal,0.22826086956521738,0.26469435736677116,0.1272287175739861,0.22566420708169843,0.9565217391304348,1.3858695652173914
i3d_mlp/weighted_ce,0.29347826086956524,0.30682990381266245,0.199556389971406,0.3177301889244081,0.8695652173913043,1.25
lstm/ce,0.38858695652173914,0.28164938509766096,0.25126896505489116,0.4500322552935208,0.842391304347826,1.3532608695652173
lstm/ordinal,0.14673913043478262,0.21806761246416417,0.1397327011612726,0.18898703464697253,1.3858695652173914,2.614130434782609
lstm/weighted_ce,0.40217391304347827,0.2838162795059347,0.25936891094301373,0.47774178002174994,0.9184782608695652,1.690217391304348
openface_mlp/ce,0.4945652173913043,0.25902593575007365,0.22213548443056638,0.49797108991692024,0.5733695652173914,0.7092391304347826
openface_mlp/ordinal,0.33967391304347827,0.2544761273209549,0.1759023447791341,0.36426311850661125,0.7635869565217391,0.970108695652174
openface_mlp/weighted_ce,0.3423913043478261,0.2811838544597165,0.2334662566027245,0.4108352452778684,0.9510869565217391,1.625
openface_tcn_i3d_fusion/ce,0.1358695652173913,0.3935056801436112,0.12180650037792895,0.08612179171185382,1.4076086956521738,2.6847826086956523
openface_tcn_i3d_fusion/ordinal,0.391304347826087,0.22140000803793908,0.20725560528278708,0.44329521760115076,0.7445652173913043,1.0380434782608696
openface_tcn_i3d_fusion/weighted_ce,0.14402173913043478,0.32434758727862173,0.13661464207330487,0.11091830952512588,1.3016304347826086,2.3505434782608696
temporal_cnn/ce,0.6603260869565217,0.3320455885111057,0.34312779629256623,0.6263012384661848,0.37228260869565216,0.4375
temporal_cnn/ordinal,0.4483695652173913,0.3246121694397557,0.25197565483398127,0.48008602965421887,0.6739130434782609,0.9728260869565217
temporal_cnn/weighted_ce,0.6684782608695652,0.317873697184042,0.32408257989653344,0.6388763929208823,0.3967391304347826,0.5543478260869565
transformer/ce,0.5869565217391305,0.33950245157141706,0.3387114065180103,0.5815147475576106,0.47282608695652173,0.6032608695652174
transformer/ordinal,0.30978260869565216,0.34416613080406183,0.25572111236120465,0.3336096192761907,0.8070652173913043,1.0570652173913044
transformer/weighted_ce,0.3423913043478261,0.32896270396270394,0.24410089259563628,0.38203567999512383,0.8260869565217391,1.201086956521739
