run_a,run_b,cohens_kappa,raw_agreement
openface_mlp/weighted_ce,lstm/weighted_ce,0.18316957163518177,0.40186915887850466
openface_mlp/weighted_ce,transformer/ce,0.0902616552676162,0.36682242990654207
openface_mlp/weighted_ce,temporal_cnn/weighted_ce,0.12063700174280101,0.39953271028037385
openface_mlp/weighted_ce,i3d_mlp/ce,-0.03650063917804092,0.28738317757009346
openface_mlp/weighted_ce,openface_tcn_i3d_fusion/ce,-0.015995693997819416,0.19626168224299065
lstm/weighted_ce,transformer/ce,0.0636351628029852,0.3808411214953271
lstm/weighted_ce,temporal_cnn/weighted_ce,0.11397688900955316,0.42990654205607476
lstm/weighted_ce,i3d_mlp/ce,-0.02496845793453706,0.3037383177570093
lstm/weighted_ce,openface_tcn_i3d_fusion/ce,0.060860485134124676,0.2733644859813084
transformer/ce,temporal_cnn/weighted_ce,0.1371408155974072,0.6308411214953271
transformer/ce,i3d_mlp/ce,-0.042460882707927805,0.4766355140186916
transformer/ce,openface_tcn_i3d_fusion/ce,0.019579603441639892,0.1378504672897196
temporal_cnn/weighted_ce,i3d_mlp/ce,-0.04715884763594125,0.5327102803738317
temporal_cnn/weighted_ce,openface_tcn_i3d_fusion/ce,0.014084507042253502,0.10046728971962617
i3d_mlp/ce,openface_tcn_i3d_fusion/ce,-0.0012864152275133822,0.0397196261682243
