run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse,base_model,loss_slug,base_model_display,loss_label,comparison_label,model_order,loss_order
openface_mlp/ce,0.4945652173913043,0.2590259357500736,0.2221354844305663,0.4979710899169202,0.5733695652173914,0.7092391304347826,openface_mlp,ce,openface_mlp,CE,openface_mlp [CE],0,0
openface_mlp/weighted_ce,0.3423913043478261,0.2811838544597165,0.2334662566027245,0.4108352452778684,0.9510869565217392,1.625,openface_mlp,weighted_ce,openface_mlp,Weighted CE,openface_mlp [Weighted CE],0,1
openface_mlp/ordinal,0.3396739130434782,0.2544761273209549,0.1759023447791341,0.3642631185066112,0.7635869565217391,0.970108695652174,openface_mlp,ordinal,openface_mlp,Ordinal,openface_mlp [Ordinal],0,2
temporal_cnn/ce,0.6603260869565217,0.3320455885111057,0.3431277962925662,0.6263012384661848,0.3722826086956521,0.4375,temporal_cnn,ce,tcn,CE,tcn [CE],1,0
temporal_cnn/weighted_ce,0.6684782608695652,0.317873697184042,0.3240825798965334,0.6388763929208823,0.3967391304347826,0.5543478260869565,temporal_cnn,weighted_ce,tcn,Weighted CE,tcn [Weighted CE],1,1
temporal_cnn/ordinal,0.4483695652173913,0.3246121694397557,0.2519756548339812,0.4800860296542188,0.6739130434782609,0.9728260869565216,temporal_cnn,ordinal,tcn,Ordinal,tcn [Ordinal],1,2
lstm/ce,0.3885869565217391,0.2816493850976609,0.2512689650548911,0.4500322552935208,0.842391304347826,1.3532608695652173,lstm,ce,lstm,CE,lstm [CE],2,0
lstm/weighted_ce,0.4021739130434782,0.2838162795059347,0.2593689109430137,0.4777417800217499,0.9184782608695652,1.690217391304348,lstm,weighted_ce,lstm,Weighted CE,lstm [Weighted CE],2,1
lstm/ordinal,0.1467391304347826,0.2180676124641641,0.1397327011612726,0.1889870346469725,1.3858695652173914,2.614130434782609,lstm,ordinal,lstm,Ordinal,lstm [Ordinal],2,2
transformer/ce,0.5869565217391305,0.339502451571417,0.3387114065180103,0.5815147475576106,0.4728260869565217,0.6032608695652174,transformer,ce,transformer,CE,transformer [CE],3,0
transformer/weighted_ce,0.3423913043478261,0.3289627039627039,0.2441008925956362,0.3820356799951238,0.8260869565217391,1.201086956521739,transformer,weighted_ce,transformer,Weighted CE,transformer [Weighted CE],3,1
transformer/ordinal,0.3097826086956521,0.3441661308040618,0.2557211123612046,0.3336096192761907,0.8070652173913043,1.0570652173913044,transformer,ordinal,transformer,Ordinal,transformer [Ordinal],3,2
i3d_mlp/ce,0.5489130434782609,0.2870917396779466,0.2488776096956829,0.5455833737191914,0.5516304347826086,0.7853260869565217,i3d_mlp,ce,i3d_mlp,CE,i3d_mlp [CE],4,0
i3d_mlp/weighted_ce,0.2934782608695652,0.3068299038126624,0.199556389971406,0.3177301889244081,0.8695652173913043,1.25,i3d_mlp,weighted_ce,i3d_mlp,Weighted CE,i3d_mlp [Weighted CE],4,1
i3d_mlp/ordinal,0.2282608695652173,0.2646943573667711,0.1272287175739861,0.2256642070816984,0.9565217391304348,1.3858695652173914,i3d_mlp,ordinal,i3d_mlp,Ordinal,i3d_mlp [Ordinal],4,2
openface_tcn_i3d_fusion/ce,0.1358695652173913,0.3935056801436112,0.1218065003779289,0.0861217917118538,1.4076086956521738,2.6847826086956523,openface_tcn_i3d_fusion,ce,fusion,CE,fusion [CE],5,0
openface_tcn_i3d_fusion/weighted_ce,0.1440217391304347,0.3243475872786217,0.1366146420733048,0.1109183095251258,1.3016304347826086,2.3505434782608696,openface_tcn_i3d_fusion,weighted_ce,fusion,Weighted CE,fusion [Weighted CE],5,1
openface_tcn_i3d_fusion/ordinal,0.391304347826087,0.221400008037939,0.207255605282787,0.4432952176011507,0.7445652173913043,1.0380434782608696,openface_tcn_i3d_fusion,ordinal,fusion,Ordinal,fusion [Ordinal],5,2
