method,feature_set,sample_id,dataset,x,y
tsne,OpenFace,first_quarter_0004_10s,private,40.04987335205078,-6.63117790222168
tsne,OpenFace,first_quarter_0006_10s,private,48.85804748535156,5.1252570152282715
tsne,OpenFace,first_quarter_0009_10s,private,24.169692993164062,-2.3606507778167725
tsne,OpenFace,first_quarter_0010_10s,private,15.746698379516602,-22.07494354248047
tsne,OpenFace,first_quarter_0011_10s,private,37.06172180175781,7.462506294250488
tsne,OpenFace,first_quarter_0013_10s,private,43.09695053100586,-15.970003128051758
tsne,OpenFace,first_quarter_0014_10s,private,24.4526424407959,-18.620914459228516
tsne,OpenFace,first_quarter_0015_10s,private,24.64808464050293,-18.470943450927734
tsne,OpenFace,first_quarter_0016_10s,private,43.2872314453125,-15.872056007385254
tsne,OpenFace,first_quarter_0018_10s,private,37.81251525878906,4.932957649230957
tsne,OpenFace,first_quarter_0019_10s,private,15.218415260314941,-22.536752700805664
tsne,OpenFace,first_quarter_0020_10s,private,24.619897842407227,-2.381680488586426
tsne,OpenFace,first_quarter_0025_10s,private,48.848976135253906,-1.9655786752700806
tsne,OpenFace,first_quarter_0027_10s,private,48.14300537109375,-3.0801966190338135
tsne,OpenFace,first_quarter_0031_10s,private,45.3084602355957,-9.011978149414062
tsne,OpenFace,first_quarter_0032_10s,private,17.896827697753906,-1.0664745569229126
tsne,OpenFace,first_quarter_0038_10s,private,25.435901641845703,-2.568446636199951
tsne,OpenFace,first_quarter_0039_10s,private,46.48572540283203,-0.6598540544509888
tsne,OpenFace,first_quarter_0041_10s,private,17.647937774658203,7.6173882484436035
tsne,OpenFace,first_quarter_0042_10s,private,45.59016418457031,-12.941913604736328
tsne,OpenFace,first_quarter_0044_10s,private,45.807220458984375,-13.260448455810547
tsne,OpenFace,first_quarter_0048_10s,private,44.4055290222168,-8.938836097717285
tsne,OpenFace,first_quarter_0049_10s,private,18.741893768310547,-1.7884584665298462
tsne,OpenFace,first_quarter_0058_10s,private,18.603931427001953,7.655654430389404
tsne,OpenFace,first_quarter_0059_10s,private,45.69370651245117,-10.153180122375488
tsne,OpenFace,first_quarter_0061_10s,private,51.8066291809082,6.067750930786133
tsne,OpenFace,first_quarter_0062_10s,private,19.11789321899414,7.689960956573486
tsne,OpenFace,first_quarter_0072_10s,private,18.40171241760254,-1.667456030845642
tsne,OpenFace,first_quarter_0134_10s,private,38.45775604248047,-3.5996766090393066
tsne,OpenFace,first_quarter_0135_10s,private,19.329221725463867,-13.829618453979492
tsne,OpenFace,first_quarter_0139_10s,private,19.48464012145996,-18.008153915405273
tsne,OpenFace,first_quarter_0143_10s,private,49.580326080322266,0.853731095790863
tsne,OpenFace,first_quarter_0148_10s,private,34.13312911987305,3.6386497020721436
tsne,OpenFace,first_quarter_0151_10s,private,49.71701431274414,0.15606307983398438
tsne,OpenFace,first_quarter_0152_10s,private,23.795326232910156,-11.695693016052246
tsne,OpenFace,first_quarter_0156_10s,private,19.042261123657227,-14.085142135620117
tsne,OpenFace,first_quarter_0157_10s,private,44.21125793457031,-13.115461349487305
tsne,OpenFace,first_quarter_0163_10s,private,38.480316162109375,-4.539130687713623
tsne,OpenFace,first_quarter_0164_10s,private,17.528697967529297,-1.593057632446289
tsne,OpenFace,first_quarter_0169_10s,private,39.98519515991211,-15.674640655517578
tsne,OpenFace,first_quarter_0173_10s,private,24.07691192626953,-9.901569366455078
tsne,OpenFace,first_quarter_0179_10s,private,21.209991455078125,1.6361191272735596
tsne,OpenFace,first_quarter_0182_10s,private,42.06557846069336,-16.15555191040039
tsne,OpenFace,first_quarter_0185_10s,private,40.1872444152832,-2.4294023513793945
tsne,OpenFace,first_quarter_0186_10s,private,19.082284927368164,-14.344305038452148
tsne,OpenFace,first_quarter_0187_10s,private,44.39334487915039,-8.893766403198242
tsne,OpenFace,first_quarter_0193_10s,private,44.214393615722656,-9.256261825561523
tsne,OpenFace,first_quarter_0194_10s,private,18.487836837768555,-2.677992582321167
tsne,OpenFace,first_quarter_0208_10s,private,53.28677749633789,4.708259582519531
tsne,OpenFace,first_quarter_0211_10s,private,23.768516540527344,3.8937628269195557
tsne,OpenFace,first_quarter_0213_10s,private,23.773487091064453,-20.485877990722656
tsne,OpenFace,first_quarter_0214_10s,private,21.9869441986084,-20.476276397705078
tsne,OpenFace,first_quarter_0217_10s,private,27.074451446533203,5.273782253265381
tsne,OpenFace,first_quarter_0218_10s,private,25.633840560913086,2.392113208770752
tsne,OpenFace,first_quarter_0219_10s,private,18.177804946899414,6.166530132293701
tsne,OpenFace,first_quarter_0222_10s,private,33.90084457397461,-0.8641282916069031
tsne,OpenFace,first_quarter_0228_10s,private,46.28968048095703,-13.100685119628906
tsne,OpenFace,first_quarter_0229_10s,private,18.19517707824707,7.012607574462891
tsne,OpenFace,first_quarter_0230_10s,private,25.347455978393555,-12.628019332885742
tsne,OpenFace,first_quarter_0231_10s,private,20.965538024902344,-3.804316520690918
tsne,OpenFace,first_quarter_0235_10s,private,22.761741638183594,-20.565319061279297
