run_name,model_label,comparison_label,base_model,variant_label,loss,loss_label,best_epoch,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse,macro_mae,cohen_kappa,quadratic_weighted_kappa,epochs_requested,batch_size,lr,device,amp,base_model_display
openface_mlp/ce,openface_mlp,openface_mlp [CE],openface_mlp,CE,cross_entropy,CE,38,0.6189683860232945,0.3985911543806558,0.4390907240256425,0.5584562482414525,0.39334442595673874,0.4179700499168053,0.7653593053826161,0.19185557368277895,0.2992195808849306,400,64,0.0001,cuda,True,openface_mlp
openface_mlp/ordinal,openface_mlp,openface_mlp [Ordinal],openface_mlp,Ordinal,ordinal,Ordinal,4,0.2961730449251248,0.35113329071695576,0.22026245278319823,0.26170599755409774,0.8482529118136439,1.1391014975041598,0.8414393044333851,0.1065788086452294,0.22026028582000146,400,64,0.0001,cuda,True,openface_mlp
openface_mlp/weighted_ce,openface_mlp,openface_mlp [Weighted CE],openface_mlp,Weighted CE,weighted_cross_entropy,Weighted CE,32,0.49717138103161396,0.5386442352573249,0.43766250471466306,0.4729218021564036,0.5544093178036605,0.6635607321131448,0.6271206159663076,0.2534582525363698,0.4361369162783345,400,64,0.0001,cuda,True,openface_mlp
tcn/ce,openface_tcn,openface_tcn [CE],temporal_cnn,CE,cross_entropy,CE,14,0.6199667221297837,0.4446804915155795,0.49272684829332314,0.5971987538065057,0.39600665557404324,0.4286189683860233,0.7172382989470385,0.2507755957514165,0.3799255867127552,400,64,0.0001,cuda,True,openface_tcn
tcn/ordinal,openface_tcn,openface_tcn [Ordinal],temporal_cnn,Ordinal,ordinal,Ordinal,34,0.49816971713810315,0.5668490043471065,0.42233105668962184,0.4835028278196705,0.5757071547420965,0.7434276206322795,0.5315169423227928,0.2711045656133606,0.4246110415999197,400,64,0.0001,cuda,True,openface_tcn
tcn/weighted_ce,openface_tcn,openface_tcn [Weighted CE],temporal_cnn,Weighted CE,weighted_cross_entropy,Weighted CE,14,0.5291181364392679,0.5562589079426427,0.4317540541203082,0.5261705061891083,0.5520798668885192,0.7410981697171382,0.5695425391694466,0.2804339184471185,0.3966456990550735,400,64,0.0001,cuda,True,openface_tcn
lstm/ce,openface_lstm,openface_lstm [CE],lstm,CE,cross_entropy,CE,16,0.6099833610648918,0.41263361108582497,0.452664935914457,0.5786129307357417,0.40632279534109816,0.4389351081530782,0.7344359622462138,0.2191127642001519,0.34468323257607636,400,64,0.0001,cuda,True,openface_lstm
lstm/ordinal,openface_lstm,openface_lstm [Ordinal],lstm,Ordinal,ordinal,Ordinal,10,0.4788685524126456,0.5337533745143347,0.3890591846623191,0.4504489757472841,0.5993344425956739,0.7757071547420965,0.6469846754460636,0.23233966722206856,0.39378110811193723,400,64,0.0001,cuda,True,openface_lstm
lstm/weighted_ce,openface_lstm,openface_lstm [Weighted CE],lstm,Weighted CE,weighted_cross_entropy,Weighted CE,13,0.5068219633943427,0.5220704831587382,0.4146167000139228,0.4943047936152089,0.5544093178036605,0.6888519134775375,0.6401580405600539,0.2542797521348945,0.4270952489895523,400,64,0.0001,cuda,True,openface_lstm
transformer/ce,openface_transformer,openface_transformer [CE],transformer,CE,cross_entropy,CE,20,0.6066555740432612,0.43943877558771444,0.47829314521306415,0.5875287479699701,0.4096505823627288,0.44292845257903496,0.7053014224996325,0.23684408987162042,0.3815158097421828,400,64,0.0001,cuda,True,openface_transformer
transformer/ordinal,openface_transformer,openface_transformer [Ordinal],transformer,Ordinal,ordinal,Ordinal,17,0.5011647254575707,0.5480599286807095,0.4142634854947102,0.4880393664865254,0.5717138103161398,0.7307820299500832,0.5878740713646767,0.25378137534316647,0.41373448621609976,400,64,0.0001,cuda,True,openface_transformer
transformer/weighted_ce,openface_transformer,openface_transformer [Weighted CE],transformer,Weighted CE,weighted_cross_entropy,Weighted CE,6,0.524459234608985,0.5094461097132854,0.44147249640979724,0.506556251249291,0.5267886855241265,0.6346089850249584,0.6943195660106976,0.26974570526680264,0.4235842090498084,400,64,0.0001,cuda,True,openface_transformer
i3d_mlp/ce,i3d_mlp,i3d_mlp [CE],i3d_mlp,CE,cross_entropy,CE,6,0.63261231281198,0.4500049903129737,0.49290185472156706,0.6116081811804888,0.3866888519134775,0.4266222961730449,0.7178285279088104,0.2797699619751227,0.3914788302346601,400,64,0.0001,cuda,True,i3d_mlp
i3d_mlp/ordinal,i3d_mlp,i3d_mlp [Ordinal],i3d_mlp,Ordinal,ordinal,Ordinal,3,0.5221297836938436,0.5299353105078126,0.4339477455001767,0.5353649448591016,0.5267886855241265,0.6312811980033278,0.5675657597508701,0.22950767862222077,0.4333734146118178,400,64,0.0001,cuda,True,i3d_mlp
i3d_mlp/weighted_ce,i3d_mlp,i3d_mlp [Weighted CE],i3d_mlp,Weighted CE,weighted_cross_entropy,Weighted CE,11,0.5284525790349418,0.5491342235962153,0.4572792208906992,0.5237790649965633,0.5394342762063228,0.6818635607321132,0.6181654521989259,0.2893130708706626,0.4109910043146038,400,64,0.0001,cuda,True,i3d_mlp
openface_tcn_i3d_fusion/ce,fusion,fusion [CE],openface_tcn_i3d_fusion,CE,cross_entropy,CE,3,0.6362728785357737,0.4131245549970809,0.42490191861717613,0.6268855110979391,0.3816971713810316,0.4209650582362729,0.7474371463705728,0.32554043073465644,0.44044518561250123,400,64,0.0001,cuda,True,fusion
openface_tcn_i3d_fusion/ordinal,fusion,fusion [Ordinal],openface_tcn_i3d_fusion,Ordinal,ordinal,Ordinal,6,0.4848585690515807,0.5205730660967157,0.4301227223607936,0.49430677025696584,0.5683860232945092,0.6775374376039933,0.5727728846305428,0.22795644315652674,0.4269287243198,400,64,0.0001,cuda,True,fusion
openface_tcn_i3d_fusion/weighted_ce,fusion,fusion [Weighted CE],openface_tcn_i3d_fusion,Weighted CE,weighted_cross_entropy,Weighted CE,8,0.5770382695507488,0.5499394731260387,0.4811746330024946,0.5833419075800939,0.46722129783693844,0.5643926788685524,0.5689935601496368,0.30895704913186195,0.4598618495742468,400,64,0.0001,cuda,True,fusion
