run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse
i3d_mlp/ce,0.7665847665847666,0.5242481233983998,0.5773884388038726,0.7491815769096066,0.257985257985258,0.31367731367731366
i3d_mlp/ordinal,0.6576576576576577,0.6114863361056599,0.5400105013751599,0.6773917828354474,0.38656838656838655,0.4832104832104832
i3d_mlp/weighted_ce,0.665028665028665,0.6301714758548801,0.5631836547541512,0.6851400719878393,0.3701883701883702,0.4438984438984439
lstm/ce,0.7027027027027027,0.4015016276209968,0.4289433128594238,0.6679212798951529,0.32678132678132676,0.389025389025389
lstm/ordinal,0.4987714987714988,0.5092287346479316,0.4108346353447826,0.5310417381430358,0.5601965601965602,0.683046683046683
lstm/weighted_ce,0.5561015561015561,0.4992262744959201,0.42739588966849557,0.5860322066736945,0.5167895167895168,0.678951678951679
openface_mlp/ce,0.7436527436527437,0.4626028394699654,0.5059807011595231,0.7194577693175169,0.2800982800982801,0.32923832923832924
openface_mlp/ordinal,0.5356265356265356,0.266457038384438,0.2660303904421316,0.5344722733305318,0.5200655200655201,0.6363636363636364
openface_mlp/weighted_ce,0.5741195741195741,0.5790310908161901,0.4770613159246675,0.600515154135283,0.47911547911547914,0.5937755937755937
openface_tcn_i3d_fusion/ce,0.7469287469287469,0.44776415689811866,0.4575061645554428,0.7264541129308241,0.28746928746928746,0.36445536445536447
openface_tcn_i3d_fusion/ordinal,0.5405405405405406,0.5773769917203254,0.4114726207849652,0.5755705042283048,0.542997542997543,0.7166257166257166
openface_tcn_i3d_fusion/weighted_ce,0.6576576576576577,0.6383281066798695,0.5435530305559964,0.679548595437491,0.38493038493038495,0.47665847665847666
tcn/ce,0.764946764946765,0.5861560491534207,0.6088838702572497,0.7593994284768331,0.2497952497952498,0.27927927927927926
tcn/ordinal,0.6846846846846847,0.6263786517117433,0.5695759529724473,0.7009810143152396,0.34725634725634724,0.4144144144144144
tcn/weighted_ce,0.6183456183456183,0.6103450569189716,0.4950881540937332,0.6457221573810371,0.44963144963144963,0.5986895986895987
transformer/ce,0.737919737919738,0.5202319003393054,0.5459871333086648,0.726291901970155,0.29238329238329236,0.3579033579033579
transformer/ordinal,0.647010647010647,0.6028149318278929,0.5358623889722879,0.6677578741914848,0.3988533988533989,0.49713349713349714
transformer/weighted_ce,0.5831285831285832,0.5884408395012944,0.485312525795068,0.6111786833083124,0.47583947583947583,0.6101556101556102
