group,test_set,metric,value,config,higher_is_better
Naive,cmose_test,accuracy,0.7723177723177723,cmose / i3d_mlp / ce,True
Naive,cmose_test,macro_accuracy,0.6213568313314529,cmose / tcn / ordinal,True
Naive,cmose_test,mae,0.2473382473382473,cmose / i3d_mlp / ce,False
Naive,cmose_test,macro_mae,0.4530616849840995,combined / openface_tcn_i3d_fusion / weighted_ce,False
Naive,cmose_test,cohen_kappa,0.4557966586450629,combined / openface_tcn_i3d_fusion / ce,True
Naive,cmose_test,quadratic_weighted_kappa,0.5372434313379395,combined / openface_tcn_i3d_fusion / weighted_ce,True
Naive,daisee_test,accuracy,0.5454035874439462,combined / openface_tcn_i3d_fusion / ce,True
Naive,daisee_test,macro_accuracy,0.4555006072863216,daisee / transformer / ordinal,True
Naive,daisee_test,mae,0.4708520179372197,combined / openface_mlp / ce,False
Naive,daisee_test,macro_mae,0.7590069197212055,cmose / transformer / ordinal,False
Naive,daisee_test,cohen_kappa,0.1331233882641666,combined / openface_tcn_i3d_fusion / ce,True
Naive,daisee_test,quadratic_weighted_kappa,0.1525405485962195,daisee / openface_tcn_i3d_fusion / ce,True
Naive,private,accuracy,0.7065217391304348,cmose / openface_mlp / ce,True
Naive,private,macro_accuracy,0.3885707204672722,cmose / transformer / weighted_ce,True
Naive,private,mae,0.3233695652173913,cmose / openface_mlp / ce,False
Naive,private,macro_mae,0.8447756745170538,cmose / transformer / weighted_ce,False
Naive,private,cohen_kappa,0.1115562073035514,cmose / tcn / weighted_ce,True
Naive,private,quadratic_weighted_kappa,0.2072985301571209,combined / transformer / ce,True
OF-Hybrid,cmose_test,accuracy,0.7788697788697788,cmose / TCN_T_TCN_TCN_T,True
OF-Hybrid,cmose_test,macro_accuracy,0.6150936211436528,cmose / TCN_TCN_T_TCN_T,True
OF-Hybrid,cmose_test,mae,0.2424242424242424,cmose / TCN_T_T_TCN_TCN,False
OF-Hybrid,cmose_test,macro_mae,0.4654557080733098,cmose / T_TCN_TCN_TCN_TCN,False
OF-Hybrid,cmose_test,cohen_kappa,0.4998703867344762,cmose / TCN_TCN_T_TCN_T,True
OF-Hybrid,cmose_test,quadratic_weighted_kappa,0.6008445140638834,cmose / T_TCN_TCN_TCN_TCN,True
OF-Hybrid,daisee_test,accuracy,0.5274663677130045,combined / T_T_TCN_TCN_T,True
OF-Hybrid,daisee_test,macro_accuracy,0.3732286321572036,cmose / T_TCN_T_T_T,True
OF-Hybrid,daisee_test,mae,0.4854260089686099,combined / T_T_TCN_TCN_T,False
OF-Hybrid,daisee_test,macro_mae,0.7303512928512927,cmose / TCN_TCN_T_T_TCN,False
OF-Hybrid,daisee_test,cohen_kappa,0.0955708039907865,combined / T_T_TCN_TCN_T,True
OF-Hybrid,daisee_test,quadratic_weighted_kappa,0.1401634348685928,combined / TCN_T_T_T_TCN,True
OF-Hybrid,private,accuracy,0.7092391304347826,daisee / TCN_T_TCN_T_T,True
OF-Hybrid,private,macro_accuracy,0.3481566326393913,cmose / T_T_TCN_TCN_T,True
OF-Hybrid,private,mae,0.3206521739130434,daisee / TCN_T_TCN_T_T,False
OF-Hybrid,private,macro_mae,0.993177799212282,cmose / TCN_T_TCN_TCN_T,False
OF-Hybrid,private,cohen_kappa,0.0807463013275304,cmose / T_T_TCN_TCN_TCN,True
OF-Hybrid,private,quadratic_weighted_kappa,0.1884127078738748,combined / T_T_TCN_T_T,True
OF+I3D-Hybrid,cmose_test,accuracy,0.782964782964783,cmose / T_TCN_TCN_TCN_T,True
OF+I3D-Hybrid,cmose_test,macro_accuracy,0.6103585619492444,cmose / TCN_TCN_TCN_T_TCN,True
OF+I3D-Hybrid,cmose_test,mae,0.2391482391482391,cmose / T_TCN_TCN_TCN_T,False
OF+I3D-Hybrid,cmose_test,macro_mae,0.4680812389821726,cmose / T_T_TCN_TCN_T,False
OF+I3D-Hybrid,cmose_test,cohen_kappa,0.5011224836976143,cmose / T_T_TCN_TCN_T,True
OF+I3D-Hybrid,cmose_test,quadratic_weighted_kappa,0.5916781581157827,cmose / T_T_TCN_TCN_T,True
OF+I3D-Hybrid,daisee_test,accuracy,0.5655829596412556,daisee / TCN_T_T_T_T,True
OF+I3D-Hybrid,daisee_test,macro_accuracy,0.3772714040571183,cmose / T_TCN_TCN_T_TCN,True
OF+I3D-Hybrid,daisee_test,mae,0.4433856502242152,daisee / TCN_T_T_T_T,False
OF+I3D-Hybrid,daisee_test,macro_mae,0.807395521681236,cmose / TCN_TCN_TCN_T_T,False
OF+I3D-Hybrid,daisee_test,cohen_kappa,0.1578447257178359,daisee / TCN_T_T_T_T,True
OF+I3D-Hybrid,daisee_test,quadratic_weighted_kappa,0.189857947649063,combined / T_T_TCN_T_T,True
OF+I3D-Hybrid,private,accuracy,0.7092391304347826,daisee / T_TCN_T_T_T,True
OF+I3D-Hybrid,private,macro_accuracy,0.3291670015807947,cmose / TCN_TCN_T_TCN_T,True
OF+I3D-Hybrid,private,mae,0.3206521739130434,daisee / T_TCN_T_T_T,False
OF+I3D-Hybrid,private,macro_mae,0.9871727888969268,combined / TCN_T_T_T_T,False
OF+I3D-Hybrid,private,cohen_kappa,0.0982899383307079,cmose / TCN_TCN_TCN_TCN_T,True
OF+I3D-Hybrid,private,quadratic_weighted_kappa,0.1447753485970044,combined / TCN_T_T_T_T,True
