run,model,metric,private_minus_cmose
openface_mlp/ce,openface_mlp,accuracy,-0.01829398568529006
openface_mlp/ce,openface_mlp,mae,0.026072267920093983
openface_mlp/ce,openface_mlp,cohen_kappa,-0.22848383641119918
openface_mlp/ce,openface_mlp,macro_accuracy,-0.12192331054986821
openface_mlp/ce,openface_mlp,macro_mae,0.21148117179494041
openface_mlp/ce,openface_mlp,quadratic_weighted_kappa,-0.29502820703301263
tcn/ce,openface_tcn,accuracy,-0.17333662714097497
tcn/ce,openface_tcn,mae,0.18792730477513092
tcn/ce,openface_tcn,cohen_kappa,-0.355996142549971
tcn/ce,openface_tcn,macro_accuracy,-0.18901856504081177
tcn/ce,openface_tcn,macro_mae,0.29673007541025753
tcn/ce,openface_tcn,quadratic_weighted_kappa,-0.3119973189475851
lstm/ce,openface_lstm,accuracy,-0.029869048890788008
lstm/ce,openface_lstm,mae,0.04144411209628601
lstm/ce,openface_lstm,cohen_kappa,-0.23724775215416422
lstm/ce,openface_lstm,macro_accuracy,-0.12976951435209108
lstm/ce,openface_lstm,macro_mae,0.2375668346335501
lstm/ce,openface_lstm,quadratic_weighted_kappa,-0.31666608257619977
transformer/ce,openface_transformer,accuracy,-0.10238623010362136
transformer/ce,openface_transformer,mae,0.12237385606950829
transformer/ce,openface_transformer,cohen_kappa,-0.3425799278644327
transformer/ce,openface_transformer,macro_accuracy,-0.1765183978504441
transformer/ce,openface_transformer,macro_mae,0.2315916219791193
transformer/ce,openface_transformer,quadratic_weighted_kappa,-0.2959328218989981
i3d_mlp/ce,i3d_mlp,accuracy,-0.29949168536125065
i3d_mlp/ce,i3d_mlp,mae,0.41842262222697013
i3d_mlp/ce,i3d_mlp,cohen_kappa,-0.3751367497725623
i3d_mlp/ce,i3d_mlp,macro_accuracy,-0.24204843032498002
i3d_mlp/ce,i3d_mlp,macro_mae,0.6823545321389173
i3d_mlp/ce,i3d_mlp,quadratic_weighted_kappa,-0.5157381711224445
openface_tcn_i3d_fusion/ce,fusion,accuracy,-0.5740950931168323
openface_tcn_i3d_fusion/ce,fusion,mae,0.6529706584054411
openface_tcn_i3d_fusion/ce,fusion,cohen_kappa,-0.401994355874548
openface_tcn_i3d_fusion/ce,fusion,macro_accuracy,-0.19351049916289934
openface_tcn_i3d_fusion/ce,fusion,macro_mae,0.23039976891607739
openface_tcn_i3d_fusion/ce,fusion,quadratic_weighted_kappa,-0.3421612507910281
