run,model,metric,private_minus_cmose
openface_mlp/ordinal,openface_mlp,accuracy,-0.15035341665776447
openface_mlp/ordinal,openface_mlp,mae,0.22249225510095083
openface_mlp/ordinal,openface_mlp,cohen_kappa,-0.13060361992029001
openface_mlp/ordinal,openface_mlp,macro_accuracy,-0.11428682953575359
openface_mlp/ordinal,openface_mlp,macro_mae,0.3628701210742705
openface_mlp/ordinal,openface_mlp,quadratic_weighted_kappa,-0.3758971094393782
tcn/ordinal,openface_tcn,accuracy,0.035466296335861514
tcn/ordinal,openface_tcn,mae,-0.016150785172524273
tcn/ordinal,openface_tcn,cohen_kappa,-0.3010991199671783
tcn/ordinal,openface_tcn,macro_accuracy,-0.3401311126057342
tcn/ordinal,openface_tcn,macro_mae,0.4735793961165652
tcn/ordinal,openface_tcn,quadratic_weighted_kappa,-0.3171999022366938
lstm/ordinal,openface_lstm,accuracy,-0.2063681764768721
lstm/ordinal,openface_lstm,mae,0.26361366307018474
lstm/ordinal,openface_lstm,cohen_kappa,-0.1663301625010677
lstm/ordinal,openface_lstm,macro_accuracy,-0.2507561105630143
lstm/ordinal,openface_lstm,macro_mae,0.48941839151644684
lstm/ordinal,openface_lstm,quadratic_weighted_kappa,-0.3052772235712844
transformer/ordinal,openface_transformer,accuracy,-0.3554218744436136
transformer/ordinal,openface_transformer,mae,0.4295681551116334
transformer/ordinal,openface_transformer,cohen_kappa,-0.23491646478279662
transformer/ordinal,openface_transformer,macro_accuracy,-0.24137916427767087
transformer/ordinal,openface_transformer,macro_mae,0.3105624010752669
transformer/ordinal,openface_transformer,quadratic_weighted_kappa,-0.2547524455239114
i3d_mlp/ordinal,i3d_mlp,accuracy,-0.47726382508991216
i3d_mlp/ordinal,i3d_mlp,mae,0.6289125093472919
i3d_mlp/ordinal,i3d_mlp,cohen_kappa,-0.3522790297331046
i3d_mlp/ordinal,i3d_mlp,macro_accuracy,-0.36816656190247804
i3d_mlp/ordinal,i3d_mlp,macro_mae,0.9974088924751048
i3d_mlp/ordinal,i3d_mlp,quadratic_weighted_kappa,-0.4647484448848347
openface_tcn_i3d_fusion/ordinal,fusion,accuracy,-0.17268899334116722
openface_tcn_i3d_fusion/ordinal,fusion,mae,0.25755795321012714
openface_tcn_i3d_fusion/ordinal,fusion,cohen_kappa,-0.2537202978287677
openface_tcn_i3d_fusion/ordinal,fusion,macro_accuracy,-0.31146560103951254
openface_tcn_i3d_fusion/ordinal,fusion,macro_mae,0.6324975816121892
openface_tcn_i3d_fusion/ordinal,fusion,quadratic_weighted_kappa,-0.546504687168786
