run,model,metric,private_minus_cmose
openface_mlp/weighted_ce,openface_mlp,accuracy,-0.28491658654702146
openface_mlp/weighted_ce,openface_mlp,macro_accuracy,-0.20348814773788287
openface_mlp/weighted_ce,openface_mlp,mae,0.3585042552433856
openface_mlp/weighted_ce,openface_mlp,f1_weighted,-0.3536526466757552
openface_mlp/weighted_ce,openface_mlp,f1_macro,-0.2590208323109682
openface_mlp/weighted_ce,openface_mlp,mse,0.509997151301499
tcn/weighted_ce,openface_tcn,accuracy,0.004978545739415252
tcn/weighted_ce,openface_tcn,macro_accuracy,-0.30572394421778887
tcn/weighted_ce,openface_tcn,mae,0.023270305879001474
tcn/weighted_ce,openface_tcn,f1_weighted,-0.045581149982809155
tcn/weighted_ce,openface_tcn,f1_macro,-0.19334057838016738
tcn/weighted_ce,openface_tcn,mse,0.08624434711391238
lstm/weighted_ce,openface_lstm,accuracy,-0.26281246661681446
lstm/weighted_ce,openface_lstm,macro_accuracy,-0.3103474213309286
lstm/weighted_ce,openface_lstm,mae,0.33022202043941173
lstm/weighted_ce,openface_lstm,f1_weighted,-0.23768969372260912
lstm/weighted_ce,openface_lstm,f1_macro,-0.2672379950453825
lstm/weighted_ce,openface_lstm,mse,0.48022825196738217
transformer/weighted_ce,openface_transformer,accuracy,-0.22361393013566927
transformer/weighted_ce,openface_transformer,macro_accuracy,-0.19455074657289323
transformer/weighted_ce,openface_transformer,mae,0.3331241320371756
transformer/weighted_ce,openface_transformer,f1_weighted,-0.20971992084571284
transformer/weighted_ce,openface_transformer,f1_macro,-0.19701951068807477
transformer/weighted_ce,openface_transformer,mse,0.5520688672862587
i3d_mlp/weighted_ce,i3d_mlp,accuracy,-0.4760041662215576
i3d_mlp/weighted_ce,i3d_mlp,macro_accuracy,-0.3415188083042279
i3d_mlp/weighted_ce,i3d_mlp,mae,0.6195763451198235
i3d_mlp/weighted_ce,i3d_mlp,f1_weighted,-0.5050202430489308
i3d_mlp/weighted_ce,i3d_mlp,f1_macro,-0.4375993584241875
i3d_mlp/weighted_ce,i3d_mlp,mse,0.9637480860306946
openface_tcn_i3d_fusion/weighted_ce,fusion,accuracy,-0.3062573443008226
openface_tcn_i3d_fusion/weighted_ce,fusion,macro_accuracy,-0.3331386068238989
openface_tcn_i3d_fusion/weighted_ce,fusion,mae,0.3804792935227718
openface_tcn_i3d_fusion/weighted_ce,fusion,f1_weighted,-0.2900877753071993
openface_tcn_i3d_fusion/weighted_ce,fusion,f1_macro,-0.3111854175583797
openface_tcn_i3d_fusion/weighted_ce,fusion,mse,0.5424723142114445
