train_group,test_set,model,loss,target_frames,n_labeled,accuracy,macro_accuracy,mae,macro_mae,cohen_kappa,quadratic_weighted_kappa
cmose,cmose_test,openface_mlp,ce,300,1221,0.7231777231777232,0.40520296118274907,0.2989352989352989,0.7442033290737178,0.28040591789229574,0.36925830993937914
cmose,cmose_test,openface_mlp,weighted_ce,300,1221,0.556920556920557,0.5452498512092457,0.4987714987714988,0.5827449288679235,0.2524833818806482,0.3989602071240286
cmose,cmose_test,openface_mlp,ordinal,300,1221,0.49303849303849306,0.3482932706738562,0.5421785421785422,0.798248970733789,0.11797224374714066,0.25269299820466806
cmose,cmose_test,tcn,ce,300,1221,0.7608517608517609,0.5348978199358876,0.25634725634725636,0.5469200834513985,0.43185591948216684,0.5371745604303496
cmose,cmose_test,tcn,weighted_ce,300,1221,0.6257166257166257,0.5967029684717531,0.4283374283374283,0.5395240352867471,0.3521124961683866,0.46352654142048844
cmose,cmose_test,tcn,ordinal,300,1221,0.5511875511875511,0.6001886833369658,0.5118755118755118,0.5222375897464269,0.2913170161318509,0.43643183371135574
cmose,cmose_test,lstm,ce,300,1221,0.7117117117117117,0.419653981928522,0.31367731367731366,0.7189096750254187,0.28604438301823787,0.38688224780747327
cmose,cmose_test,lstm,weighted_ce,300,1221,0.5266175266175266,0.5338598703028142,0.5626535626535627,0.6729306789467218,0.2380202766171089,0.3286469519540628
cmose,cmose_test,lstm,ordinal,300,1221,0.4152334152334152,0.4909072867674336,0.6732186732186732,0.6938112870542853,0.15395618941884792,0.31805315201340434
cmose,cmose_test,transformer,ce,300,1221,0.7502047502047502,0.4932780692524189,0.27927927927927926,0.6651475914640965,0.39391547480323674,0.43352359861591705
cmose,cmose_test,transformer,weighted_ce,300,1221,0.5773955773955773,0.5694221802850462,0.4864864864864865,0.5745834673800776,0.29327199733477816,0.39950228504582286
cmose,cmose_test,transformer,ordinal,300,1221,0.5528255528255528,0.588317329366908,0.502047502047502,0.5044512611470827,0.2808504670880887,0.44327375101467636
cmose,cmose_test,i3d_mlp,ce,300,1221,0.7641277641277642,0.507772341860985,0.25634725634725636,0.6253733894130885,0.41755831903376905,0.49327353234729543
cmose,cmose_test,i3d_mlp,weighted_ce,300,1221,0.6904176904176904,0.6086969950198446,0.35626535626535627,0.511329538765413,0.42387758999689185,0.48214452959921417
cmose,cmose_test,i3d_mlp,ordinal,300,1221,0.6855036855036855,0.6133839150969578,0.35544635544635544,0.4883729204720776,0.41932175933379734,0.4999100750684261
cmose,daisee_test,openface_mlp,ce,300,1784,0.42096412556053814,0.26136154707583276,0.6737668161434978,0.8527355045212188,0.01962273867167985,-0.008128553857172927
cmose,daisee_test,openface_mlp,weighted_ce,300,1784,0.020739910313901346,0.21882120989263845,2.1754484304932737,1.4894515340943912,-0.008583474320124296,0.0045137491409088515
cmose,daisee_test,openface_mlp,ordinal,300,1784,0.4467488789237668,0.3066893424036281,0.6513452914798207,0.8092504610361753,0.05643569237628365,-0.010268195560136695
cmose,daisee_test,tcn,ce,300,1784,0.4103139013452915,0.4211074478931622,0.8217488789237668,0.7680392591106877,0.02473742083131536,0.02174018419777024
cmose,daisee_test,tcn,weighted_ce,300,1784,0.4742152466367713,0.24537083465654894,0.6059417040358744,1.0545217063074206,0.011716069287692865,-0.03241881095785781
cmose,daisee_test,tcn,ordinal,300,1784,0.09641255605381166,0.28427441820298965,1.8800448430493273,1.2508705365848223,-5.703070338358707e-05,0.0033072292099574074
cmose,daisee_test,lstm,ce,300,1784,0.48934977578475336,0.25862249076534793,0.5257847533632287,1.0037795216366645,0.013688720581630842,0.010542417912717483
cmose,daisee_test,lstm,weighted_ce,300,1784,0.22477578475336324,0.22220655256369543,1.4394618834080717,1.2957230189373048,0.028192313994378604,-0.005131405589071436
cmose,daisee_test,lstm,ordinal,300,1784,0.2763452914798206,0.2735542824828539,0.9887892376681614,1.0138854067425496,0.019794403771789315,0.024393571188365493
cmose,daisee_test,transformer,ce,300,1784,0.42376681614349776,0.3085791032219604,0.6748878923766816,0.8724587296015867,0.03686174665544906,0.023757005559431943
cmose,daisee_test,transformer,weighted_ce,300,1784,0.4052690582959641,0.41036049964621396,0.7993273542600897,0.7653472117757831,0.049308939536855445,-0.011222920075642628
cmose,daisee_test,transformer,ordinal,300,1784,0.1726457399103139,0.3384127401984545,1.164237668161435,0.8487675987675988,0.011981467223190378,0.015068186116699578
cmose,daisee_test,i3d_mlp,ce,300,1784,0.4265695067264574,0.23263314334742907,0.6154708520179372,1.4072478090335234,-0.061395876854647646,-0.025242248594903094
cmose,daisee_test,i3d_mlp,weighted_ce,300,1784,0.43946188340807174,0.24238976917548347,0.6048206278026906,1.4040578147721003,-0.03502732031194711,-0.007694335129829533
cmose,daisee_test,i3d_mlp,ordinal,300,1784,0.4551569506726457,0.2547238797238797,0.5964125560538116,1.3655522405522407,0.003403506957016522,0.016505178750417793
cmose,private,openface_mlp,ce,300,366,0.5901639344262295,0.2826610198827373,0.4426229508196721,0.9945711229744056,0.06837041185155024,0.07692307692307665
cmose,private,openface_mlp,weighted_ce,300,366,0.24863387978142076,0.3075691379459553,1.1721311475409837,1.1992949633283572,0.05642689066176676,0.09032258064516119
cmose,private,openface_mlp,ordinal,300,366,0.5655737704918032,0.2567393608965622,0.4672131147540984,0.9977249248177236,-0.0002062493554706446,0.020100502512563012
cmose,private,tcn,ce,300,366,0.4098360655737705,0.27302443694424616,0.6857923497267759,0.9083555094004889,-0.024545760866747868,0.16309012875536488
cmose,private,tcn,weighted_ce,300,366,0.5573770491803278,0.27015317712727976,0.48360655737704916,0.9274779050647974,0.07126969706462838,0.14344827586206899
cmose,private,tcn,ordinal,300,366,0.1912568306010929,0.2834614542091258,1.2868852459016393,1.1231075971960796,0.05796420931809887,0.08271474019088021
cmose,private,lstm,ce,300,366,0.5355191256830601,0.28355279526622096,0.5191256830601093,1.0115364904480648,0.0709966405375142,0.10344827586206906
cmose,private,lstm,weighted_ce,300,366,0.18579234972677597,0.2297245164535601,1.3060109289617485,1.3177430172432443,0.027801795216914504,0.017863652934742902
cmose,private,lstm,ordinal,300,366,0.2978142076502732,0.28318215746089437,0.8934426229508197,1.0303479479024686,-0.0008618763367063131,0.06828627708470147
cmose,private,transformer,ce,300,366,0.3879781420765027,0.42998576134224703,0.7814207650273224,0.7502492779256182,0.1327197715011108,0.19044544867656554
cmose,private,transformer,weighted_ce,300,366,0.24316939890710382,0.35131961121568117,1.1202185792349726,0.9476953116548754,0.051360986610025305,0.09400255210548714
cmose,private,transformer,ordinal,300,366,0.12568306010928962,0.3162946766621233,1.1775956284153006,0.9256627804461175,0.030463576158940575,0.07072135785007061
cmose,private,i3d_mlp,ce,300,366,0.40437158469945356,0.2594420690811536,0.773224043715847,1.3930423265398846,0.06249779689097257,-0.013483146067415852
cmose,private,i3d_mlp,weighted_ce,300,366,0.42349726775956287,0.2718917672702884,0.6885245901639344,1.3688628410246424,0.06371164268134466,0.017674418604651132
cmose,private,i3d_mlp,ordinal,300,366,0.28688524590163933,0.2629752304147465,0.8907103825136612,1.4478328979251855,-0.0036141287218174334,0.015656909462219093
daisee,cmose_test,openface_mlp,ce,300,1221,0.3538083538083538,0.24238838973045446,0.769041769041769,1.2038300976645036,-0.030475634253881223,0.04534319272375997
daisee,cmose_test,openface_mlp,weighted_ce,300,1221,0.19164619164619165,0.26183923028842815,0.923013923013923,1.0150460094604932,-0.005115959809606885,-0.011689044024516537
daisee,cmose_test,openface_mlp,ordinal,300,1221,0.6912366912366913,0.25078664650857163,0.3366093366093366,0.9920704963485713,0.002913386850119881,0.011827141261685714
daisee,cmose_test,tcn,ce,300,1221,0.28501228501228504,0.23218287875452742,0.8574938574938575,1.2712431070243997,-0.039656716155876515,0.03583161927908429
daisee,cmose_test,tcn,weighted_ce,300,1221,0.22276822276822278,0.2596782896248137,0.8804258804258804,1.010804993067297,-0.006112761344425621,-0.01106577218341509
daisee,cmose_test,tcn,ordinal,300,1221,0.21294021294021295,0.26178954735104465,0.9156429156429157,1.016553533930947,-0.021596307079374766,0.0016001255535617043
daisee,cmose_test,lstm,ce,300,1221,0.6060606060606061,0.23300582314449803,0.4488124488124488,1.0592049073015264,-0.030987502830690294,-0.008964124173657773
daisee,cmose_test,lstm,weighted_ce,300,1221,0.2547092547092547,0.2384373081826177,0.904995904995905,1.2958076501582347,-0.01939970549513026,0.02694009994159252
daisee,cmose_test,lstm,ordinal,300,1221,0.06961506961506962,0.2535987193265359,1.5094185094185095,1.4767503682757919,-0.0009670091129785341,-0.00017595913912327177
daisee,cmose_test,transformer,ce,300,1221,0.16216216216216217,0.2371430572509155,1.031941031941032,1.373619709394204,-0.023908183917430437,0.024520244366679544
daisee,cmose_test,transformer,weighted_ce,300,1221,0.28173628173628174,0.29323136756291834,0.9754299754299754,1.0833146890270973,0.03540514952874496,-0.008761879260716476
daisee,cmose_test,transformer,ordinal,300,1221,0.2031122031122031,0.28197577823246267,0.9344799344799345,0.990553052494501,-0.0046297940566129014,0.02912293927430698
daisee,cmose_test,i3d_mlp,ce,300,1221,0.678951678951679,0.2501575850959518,0.3538083538083538,1.0054985235013332,-0.001967795148338336,0.0070805736884740345
daisee,cmose_test,i3d_mlp,weighted_ce,300,1221,0.054873054873054876,0.22805758548530233,1.6494676494676495,1.3727749183654194,-0.007222663035320043,0.011881533580942127
daisee,cmose_test,i3d_mlp,ordinal,300,1221,0.05896805896805897,0.22970825965478373,1.71990171990172,1.4320966149775178,-0.003118189462364418,0.004916311396486406
daisee,daisee_test,openface_mlp,ce,300,1784,0.4915919282511211,0.2555442734014163,0.5190582959641256,1.0337604534033105,0.020085341201293128,0.06676775115886169
daisee,daisee_test,openface_mlp,weighted_ce,300,1784,0.288677130044843,0.28584451798737515,0.9904708520179372,1.127492868564297,0.009728205146150692,-0.01482840514283068
daisee,daisee_test,openface_mlp,ordinal,300,1784,0.4725336322869955,0.25510204081632654,0.5633408071748879,1.013325477611192,0.011192486979795468,-0.01628450930270442
daisee,daisee_test,tcn,ce,300,1784,0.5207399103139013,0.27250929036643323,0.48934977578475336,1.0191573763002335,0.08096200981868917,0.13888092370629512
daisee,daisee_test,tcn,weighted_ce,300,1784,0.2679372197309417,0.2397666683380969,1.0089686098654709,1.110101985101985,0.016071217419213135,0.032986402295660855
daisee,daisee_test,tcn,ordinal,300,1784,0.20011210762331838,0.3070347713204856,1.2825112107623318,1.0120231548802978,0.008643423350171542,0.0215329379370921
daisee,daisee_test,lstm,ce,300,1784,0.49887892376681614,0.25939483082340226,0.5145739910313901,1.1096527882242169,0.033935018050541665,0.06112205709016716
daisee,daisee_test,lstm,weighted_ce,300,1784,0.36771300448430494,0.25216659145230574,0.8542600896860987,0.9475143046571619,0.013411723638873774,0.01634570986229178
daisee,daisee_test,lstm,ordinal,300,1784,0.3217488789237668,0.3110914718057576,1.1137892376681615,1.2933158111729541,0.008650382369312037,0.022312213510467527
daisee,daisee_test,transformer,ce,300,1784,0.48934977578475336,0.2572282393710965,0.522982062780269,1.046343189200332,0.025161171132912497,0.09248587417655774
