run_name,dataset,model_label,comparison_label,base_model,variant_label,loss,loss_label,best_epoch,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse,macro_mae,cohen_kappa,quadratic_weighted_kappa,epochs_requested,batch_size,lr,device,amp,base_model_display
openface_mlp/ce,cmose,openface_mlp,openface_mlp [CE],openface_mlp,CE,cross_entropy,CE,35,0.723996723996724,0.40549812056881757,,,0.29811629811629814,,0.7439081696876495,0.2817509150987364,0.37008412405335744,400,64,0.0001,cuda,False,openface_mlp
openface_mlp/ordinal,cmose,openface_mlp,openface_mlp [Ordinal],openface_mlp,Ordinal,ordinal,Ordinal,16,0.49303849303849306,0.3482932706738562,,,0.5421785421785422,,0.798248970733789,0.11797224374714066,0.25269299820466806,400,64,0.0001,cuda,False,openface_mlp
openface_mlp/weighted_ce,cmose,openface_mlp,openface_mlp [Weighted CE],openface_mlp,Weighted CE,weighted_cross_entropy,Weighted CE,50,0.556920556920557,0.5452498512092457,,,0.4987714987714988,,0.5827449288679235,0.2524833818806482,0.3989602071240286,400,64,0.0001,cuda,False,openface_mlp
tcn/ce,cmose,openface_tcn,openface_tcn [CE],temporal_cnn,CE,cross_entropy,CE,32,0.7608517608517609,0.5348978199358876,,,0.25634725634725636,,0.5469200834513985,0.43185591948216684,0.5371745604303496,400,64,0.0001,cuda,False,openface_tcn
tcn/ordinal,cmose,openface_tcn,openface_tcn [Ordinal],temporal_cnn,Ordinal,ordinal,Ordinal,21,0.5511875511875511,0.6001886833369658,,,0.5118755118755118,,0.5222375897464269,0.2913170161318509,0.43643183371135574,400,64,0.0001,cuda,False,openface_tcn
tcn/weighted_ce,cmose,openface_tcn,openface_tcn [Weighted CE],temporal_cnn,Weighted CE,weighted_cross_entropy,Weighted CE,30,0.6257166257166257,0.5967029684717531,,,0.4283374283374283,,0.5395240352867471,0.3521124961683866,0.46352654142048844,400,64,0.0001,cuda,False,openface_tcn
lstm/ce,cmose,openface_lstm,openface_lstm [CE],lstm,CE,cross_entropy,CE,10,0.7117117117117117,0.419653981928522,,,0.31367731367731366,,0.7189096750254187,0.28604438301823787,0.38688224780747327,400,64,0.0001,cuda,False,openface_lstm
lstm/ordinal,cmose,openface_lstm,openface_lstm [Ordinal],lstm,Ordinal,ordinal,Ordinal,10,0.4152334152334152,0.4909072867674336,,,0.6732186732186732,,0.6938112870542853,0.15395618941884792,0.31805315201340434,400,64,0.0001,cuda,False,openface_lstm
lstm/weighted_ce,cmose,openface_lstm,openface_lstm [Weighted CE],lstm,Weighted CE,weighted_cross_entropy,Weighted CE,11,0.5266175266175266,0.5338598703028142,,,0.5626535626535627,,0.6729306789467218,0.2380202766171089,0.3286469519540628,400,64,0.0001,cuda,False,openface_lstm
transformer/ce,cmose,openface_transformer,openface_transformer [CE],transformer,CE,cross_entropy,CE,26,0.7502047502047502,0.4932780692524189,,,0.27927927927927926,,0.6651475914640965,0.39391547480323674,0.43352359861591705,400,64,0.0001,cuda,False,openface_transformer
transformer/ordinal,cmose,openface_transformer,openface_transformer [Ordinal],transformer,Ordinal,ordinal,Ordinal,34,0.552006552006552,0.5880221699808394,,,0.5028665028665029,,0.5047464205331512,0.2800195333133545,0.4428284318960748,400,64,0.0001,cuda,False,openface_transformer
transformer/weighted_ce,cmose,openface_transformer,openface_transformer [Weighted CE],transformer,Weighted CE,weighted_cross_entropy,Weighted CE,29,0.5773955773955773,0.5694221802850462,,,0.4864864864864865,,0.5745834673800776,0.29327199733477816,0.39950228504582286,400,64,0.0001,cuda,False,openface_transformer
i3d_mlp/ce,cmose,i3d_mlp,i3d_mlp [CE],i3d_mlp,CE,cross_entropy,CE,5,0.7641277641277642,0.507772341860985,,,0.25634725634725636,,0.6253733894130885,0.41755831903376905,0.49327353234729543,400,64,0.0001,cuda,False,i3d_mlp
i3d_mlp/ordinal,cmose,i3d_mlp,i3d_mlp [Ordinal],i3d_mlp,Ordinal,ordinal,Ordinal,27,0.6855036855036855,0.6133839150969578,,,0.35544635544635544,,0.4883729204720776,0.41932175933379734,0.4999100750684261,400,64,0.0001,cuda,False,i3d_mlp
i3d_mlp/weighted_ce,cmose,i3d_mlp,i3d_mlp [Weighted CE],i3d_mlp,Weighted CE,weighted_cross_entropy,Weighted CE,21,0.6904176904176904,0.6086969950198446,,,0.35626535626535627,,0.511329538765413,0.42387758999689185,0.48214452959921417,400,64,0.0001,cuda,False,i3d_mlp
