run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,macro_mae,cohen_kappa,quadratic_weighted_kappa
i3d_mlp/ce,0.7723177723177723,0.5392378309626565,0.5960371770447208,0.754897280039163,0.24733824733824733,0.5767166170184388,0.45374754181726884,0.5285155752919132
i3d_mlp/ordinal,0.6076986076986077,0.6172740157513111,0.5044116370791696,0.6355054596009437,0.44717444717444715,0.4883539079428683,0.3541437525674833,0.46013447995096846
i3d_mlp/weighted_ce,0.687960687960688,0.6176136425887173,0.5685996593527671,0.7043453499626869,0.35053235053235055,0.4872945055488335,0.4246556536859927,0.5007063894811765
lstm/ce,0.7010647010647011,0.3787831922450793,0.40922846799077933,0.6611058095363617,0.3226863226863227,0.7559894175433919,0.23508714718477264,0.3272857895260587
lstm/ordinal,0.43734643734643736,0.5247309384171525,0.3804633545079651,0.4674804505213891,0.6412776412776413,0.6080734365788295,0.17379249345496883,0.34478859877546986
lstm/weighted_ce,0.5962325962325963,0.5495204356053627,0.4718493666456174,0.6219134801826751,0.45864045864045866,0.5741345552842879,0.2968405584129318,0.41560545380911673
openface_mlp/ce,0.7248157248157249,0.3851373474708017,0.4241375578444544,0.6760054240618504,0.2972972972972973,0.775304791284126,0.2566290864417652,0.3432342382898914
openface_mlp/ordinal,0.5470925470925471,0.33883000666513763,0.33886110390353236,0.5556350248694034,0.48402948402948404,0.798950338159982,0.09211274688423987,0.24590734485391252
openface_mlp/weighted_ce,0.4995904995904996,0.5113395396409989,0.4099880158123982,0.5319847746430826,0.5708435708435708,0.6390641738393936,0.2076893421652123,0.349561045715268
openface_tcn_i3d_fusion/ce,0.7452907452907452,0.4318219960950859,0.4395751531994646,0.7199550032450244,0.29811629811629814,0.7843481747111766,0.39836397513166155,0.3317274232237575
openface_tcn_i3d_fusion/ordinal,0.5585585585585585,0.5706757395599958,0.4776230678349535,0.5873087113328154,0.48157248157248156,0.5204426295176772,0.28781859755932604,0.4525546022347734
openface_tcn_i3d_fusion/weighted_ce,0.6486486486486487,0.6139406591776754,0.5268343998740287,0.6732473841914459,0.4021294021294021,0.4701224543606488,0.390738405851044,0.48189544964176534
tcn/ce,0.7575757575757576,0.49896819395595793,0.5427950960656337,0.7368372498857658,0.26044226044226043,0.596991624345925,0.416170740690484,0.5126592966058391
tcn/ordinal,0.6167076167076168,0.6213568313314529,0.506298387890248,0.645053375452281,0.43734643734643736,0.50117477691347,0.36692225623435804,0.4756751090291135
tcn/weighted_ce,0.6281736281736282,0.6124383026562852,0.49886031713420154,0.6520909187757403,0.4332514332514332,0.5100901930481374,0.3465261797879965,0.4619193482657218
transformer/ce,0.7518427518427518,0.49308090622329726,0.5411335601347249,0.7324682186844874,0.27436527436527436,0.6508585427986316,0.4065808742739915,0.456771982738159
transformer/ordinal,0.5266175266175266,0.587933232814498,0.4455528138875515,0.5588389794793263,0.5405405405405406,0.5450862606078776,0.25990842947958337,0.41081608350857646
transformer/weighted_ce,0.5823095823095823,0.5831214670401654,0.47812326707225483,0.6117575870844943,0.47665847665847666,0.5746321045038529,0.30857938495976134,0.41714573116419074
