run,accuracy,macro_accuracy,f1_macro,f1_weighted,mae,mse,macro_mae,cohen_kappa,quadratic_weighted_kappa
cmose/i3d_mlp/ce,0.47282608695652173,0.2971894006376765,0.24323525936429163,0.49616052484215173,0.6657608695652174,0.9972826086956522,1.2590711491573559,0.07861079204470656,0.012777404169468709
cmose/i3d_mlp/ordinal,0.13043478260869565,0.24910745384883318,0.06284588294482643,0.05214189190831384,1.076086956521739,1.5434782608695652,1.485762800417973,0.0018647228343787736,-0.0046139649338663435
cmose/i3d_mlp/weighted_ce,0.21195652173913043,0.27609483428448944,0.13100030092857962,0.19932510691375627,0.970108695652174,1.3994565217391304,1.438149733408354,0.026978728835966748,0.009843054481620261
cmose/lstm/ce,0.6684782608695652,0.24805582348685795,0.22525191091889296,0.5834096223670387,0.36684782608695654,0.4375,0.9945141065830722,-0.005712237629085237,0.009562019391507914
cmose/lstm/ordinal,0.23097826086956522,0.2739748278541382,0.18131696717353302,0.23675957736969463,0.904891304347826,1.1983695652173914,1.0974918280952763,0.007462330953901142,0.03951137520418546
cmose/lstm/weighted_ce,0.3342391304347826,0.24030423599389117,0.20557716110415342,0.3851768024870741,0.7880434782608695,1.0543478260869565,1.1790903062454785,0.003866976024748614,-0.0011218308279112854
cmose/openface_mlp/ce,0.7065217391304348,0.2632140369209335,0.23600340457726499,0.6001579962335836,0.3233695652173913,0.38315217391304346,0.9867859630790665,0.028145250030566005,0.048206031256878834
cmose/openface_mlp/ordinal,0.3967391304347826,0.22454317712938404,0.18642290249433108,0.4247522922212363,0.7065217391304348,0.9130434782608695,1.1618204592342523,-0.038490873036050255,-0.12998976458546574
cmose/openface_mlp/weighted_ce,0.21467391304347827,0.30785139190311606,0.15096718350143007,0.17833212796732748,0.9293478260869565,1.2282608695652173,0.9460453339763685,0.038147779687076167,0.04417781455431424
cmose/openface_tcn_i3d_fusion/ce,0.17119565217391305,0.2383114969321866,0.09731037813386767,0.12253270318412458,0.9510869565217391,1.1956521739130435,1.014747943627254,-0.003630380742886574,-0.010433827567270626
cmose/openface_tcn_i3d_fusion/ordinal,0.3858695652173913,0.25921013852048336,0.1960740409016271,0.4185723696593261,0.7391304347826086,0.9891304347826086,1.1529402111298663,0.034098299730558335,-0.09395008493401269
cmose/openface_tcn_i3d_fusion/weighted_ce,0.3423913043478261,0.2808020523537765,0.215648982315649,0.3831596088842466,0.782608695652174,1.0543478260869565,1.1619427028909788,0.053441605373921064,-0.017153929446628968
cmose/tcn/ce,0.5842391304347826,0.3099496289151461,0.32186716791979947,0.5766195379753732,0.4483695652173913,0.5135869565217391,0.8937216997561825,0.06017459814051307,0.200661977658254
cmose/tcn/ordinal,0.6521739130434783,0.2812257187257187,0.2720752997721025,0.5983327651607803,0.421195652173913,0.5679347826086957,0.9747541730300351,0.06582313626717973,0.15847520679241978
cmose/tcn/weighted_ce,0.6331521739130435,0.30671435843849637,0.30551973875403415,0.6065097687929312,0.45652173913043476,0.6521739130434783,1.015699099750824,0.11155620730355142,0.10816705711285257
cmose/transformer/ce,0.6494565217391305,0.31656250837285316,0.3150159528378867,0.6000573733828444,0.3967391304347826,0.4891304347826087,0.882450164777751,0.06400094640955889,0.16083916083916094
cmose/transformer/ordinal,0.17119565217391305,0.3465540685368272,0.1889798891506497,0.12253170618209823,0.970108695652174,1.2581521739130435,0.8556486616831445,0.024991964696786773,0.15606363798466505
cmose/transformer/weighted_ce,0.358695652173913,0.3885707204672722,0.28110375638418006,0.4020376662387815,0.8097826086956522,1.1630434782608696,0.8447756745170538,0.07235478840443488,0.15899188381033735
